lb_best,ub_ch,zd_minus_lb,method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,serious_steps,null_steps,wall_clean_s,wall_stab_s,total_solver_wall_s,dictator_wall_s,broadcast_tv,broadcast_linf_max,broadcast_points,uplift_lo,uplift_hi,z_d_ub,tol_d,epsilon,budget,backend,mip_version,source_commit
3130.61539359,3130.61637994,0.0109860286821,a2,0,8,0.01,certified,True,0.000986352539712,18,18,0,17,0,0,14.2327849865,0,13.0070214272,6.1201543808,69.096272,2.273736,18,-0.0100003238581,0.000986028681837,3130.61637962,0.01,0.01,240,GRB,unknown,d89c672
3132.32954328,3132.32954328,0.0100000000002,a2,11,8,0.01,certified,True,0,16,16,0,15,0,0,10.3068091869,0,9.47176337242,1.37587547302,65.609294,2.273736,16,-0.0100000000002,0,3132.32954328,0.01,0.01,240,GRB,unknown,d89c672
3135.03824935,3135.03853774,0.0114997857718,a2,15,8,0.01,certified,True,0.000288397216536,30,30,0,29,0,0,34.7680413723,0,32.7302496433,10.387103796,84.842497,2.273736,30,-0.0087886114452,0.00149978577156,3135.03974913,0.01,0.01,240,GRB,unknown,d89c672
3293.46739674,3293.46873839,0.0121523367861,a2,0,12,0.01,certified,True,0.00134165450936,17,17,0,16,0,0,117.216977596,0,114.19382,71.3062672615,93.771204,4.524669,17,-0.00918931772367,0.00215233678591,3293.46954908,0.01,0.01,240,GRB,unknown,d89c672
4166.14076573,4166.14076573,0.0100000000002,a2,11,12,0.01,certified,True,0,29,29,0,28,0,0,337.823046207,0,333.51213932,35.4308800697,102.857009,2.360725,29,-0.0100000000002,0,4166.14076573,0.01,0.01,240,GRB,unknown,d89c672
3279.7599628,3279.76031584,2.68156258619,a2,15,12,0.01,certified,True,0.000353036804427,28,28,0,27,0,0,162.786371469,0,159.795410633,78.5667979717,92.63945,2.304454,28,2.66120954939,2.67156258619,3282.43152539,0.01,0.01,240,GRB,unknown,d89c672
3176.59875023,3176.59926635,0.0110152544798,a2,0,8,0.05,certified,True,0.000516120910106,20,20,0,19,0,0,19.0716614723,0,17.7072184086,9.44160890579,141.01195,4.273736,20,-0.0095008664307,0.00101525447963,3176.59976548,0.01,0.01,240,GRB,unknown,d89c672
3165.85426491,3165.8546685,0.0103882478334,a2,11,8,0.05,certified,True,0.000403594970976,16,16,0,15,0,0,11.1329097748,0,10.3414568901,6.28580975533,148.012852,5.589798,16,-0.0100153471381,0.000388247833143,3165.85465315,0.01,0.01,240,GRB,unknown,d89c672
3168.29725389,3168.29792912,0.0107341328676,a2,15,8,0.05,certified,True,0.00067522573454,28,28,0,27,0,0,26.1751153469,0,24.9246559143,11.9072620869,179.614688,4.273736,28,-0.00994109286739,0.000734132867365,3168.29798803,0.01,0.01,240,GRB,unknown,d89c672
3532.42160527,3532.42185193,0.0110412878694,a2,0,12,0.05,certified,True,0.000246660362336,17,17,0,16,0,0,394.909163475,0,391.945730925,324.558474541,157.428153,4.273736,17,-0.0092053724934,0.00104128786916,3532.42264656,0.01,0.01,240,GRB,unknown,d89c672
