experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,energy_cost_model,oracle_tier,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_iter,x_alpha,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length
phase1-static,uncontrolled,2026-08-14T22:32:36.960123+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,1890e8ca64fe,3,150.0,98.3,3150.0,3270.286472370294,120.28647237029418,policy/uncontrolled-charge-on-arrival,GRB,OPTIMAL,3270.286472370294,3270.286472370294,0.0,3101.999999999999,168.2864723702951,3.5597548484802246,0.058420658111572266,2350,888,2787,104.6086671834014,101.3840971834014,3254.6086671834014,3251.3840971834015,98.3,s0_n12_duck_b0.002_a1,,,,,,,
phase1-static,taker,2026-08-14T22:32:39.724978+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3238.532135720349,88.53213572034883,exact-milp/taker,GRB,OPTIMAL,3238.532135720349,3238.5321357203484,1.4041773613134594e-16,3101.9999999999995,136.5321357203493,2.579537868499756,0.045176029205322266,2350,888,2787,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,s0_n12_duck_b0.002_a1,,,,,,,
phase1-static,strategic,2026-08-14T22:32:43.414783+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,7b7678bfcd3d,3,150.0,98.3,3150.0,3240.4415841283544,90.4415841283544,exact-milp/strategic-pwl16,GRB,OPTIMAL,3240.4415841283544,3240.4415841283544,0.0,3101.999999999999,138.44158412835532,3.544217586517334,0.052883148193359375,2378,888,3235,95.3792041283545,92.39439412835449,3245.3792041283546,3242.3943941283546,98.30000000000001,s0_n12_duck_b0.002_a1,,,,,,,
phase1-static,dictator,2026-08-14T22:32:47.127254+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3239.5281357203485,89.52813572034847,exact-milp/dictator-pwl16,GRB,OPTIMAL,3239.5281357203485,3239.5281357203485,0.0,3101.999999999999,137.52813572034938,3.5804309844970703,0.04003500938415527,2378,888,3235,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,s0_n12_duck_b0.002_a1,,,,,,,
phase1-loop,taker-iteration,2026-08-14T22:32:56.795514+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3277.8521357203485,127.85213572034854,exact-milp/taker,GRB,OPTIMAL,3277.8521357203485,3277.8521357203485,0.0,3101.9999999999995,175.852135720349,4.1057820320129395,0.045952558517456055,2350,888,2787,160.1002357203487,143.97618572034872,3310.100235720349,3293.976185720349,98.29999999999998,loop,0,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:00.844799+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,53c3b6c4fbe1,3,150.0,98.3,3150.0,3293.973785720349,143.97378572034904,exact-milp/taker,GRB,OPTIMAL,3293.973785720349,3293.9737857203486,1.3805433208297887e-16,3101.9999999999995,191.9737857203495,3.914623498916626,0.04331254959106445,2350,888,2787,160.0978357203487,143.9749857203487,3310.0978357203485,3293.9749857203487,98.3,loop,1,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:05.329900+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,999fe897ded2,3,150.0,98.3,3150.0,3300.7149852484413,150.71498524844128,exact-milp/taker,GRB,OPTIMAL,3300.7149852484413,3300.7149852484413,0.0,3101.999999999999,198.7149852484422,4.296036958694458,0.04289126396179199,2350,888,2787,174.1370102484412,158.0141602484412,3324.137010248441,3308.0141602484414,98.3,loop,2,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:11.820874+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,0eee314c8137,486c85e913c9,3,150.0,98.3,3150.0,3292.2998123397556,142.2998123397556,exact-milp/taker,GRB,OPTIMAL,3292.2998123397556,3292.2998123397556,0.0,3101.9999999999995,190.29981233975604,6.360715866088867,0.04776120185852051,2350,888,2787,184.56431233975542,157.53406233975542,3334.5643123397554,3307.5340623397556,98.3,loop,3,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:16.803326+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,ac79d820599c,3,150.0,98.3,3150.0,3299.6192943139945,149.6192943139945,exact-milp/taker,GRB,OPTIMAL,3299.6192943139945,3299.6192943139945,0.0,3101.9999999999995,197.61929431399494,4.838903188705444,0.04356122016906738,2350,888,2787,167.07355056399467,150.95070056399467,3317.0735505639946,3300.950700563995,98.3,loop,4,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:21.312024+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,2ab9e088be6a,3,150.0,98.3,3150.0,3300.876617279795,150.87661727979503,exact-milp/taker,GRB,OPTIMAL,3300.876617279795,3300.876617279795,0.0,3101.9999999999986,198.8766172797964,4.377161979675293,0.04744887351989746,2350,888,2787,167.16129540479523,151.03844540479523,3317.161295404795,3301.0384454047953,98.3,loop,5,0.5,,,,,
