seed,n_trips,b,regime,n_draws,total_system_mean,total_system_min,total_system_max,total_private_mean,energy_kwh_mean,fleet,selection_spread
2,8,0.002,taker,4,3133.381918,3133.381918,3133.381918,3134.089478,26.6,3,0
2,8,0.002,uncontrolled,4,3155.029404,3155.029404,3155.029404,3155.736964,26.6,3,0
3,8,0.002,dictator,4,3114.891764,3114.891764,3114.891764,3115.572974,26.1,3,0
3,8,0.002,strategic,4,3114.891764,3114.891764,3114.891764,3115.572974,26.1,3,0
3,8,0.002,taker,4,3114.891764,3114.891764,3114.891764,3115.572974,26.1,3,0
3,8,0.002,uncontrolled,4,3114.891764,3114.891764,3114.891764,3115.572974,26.1,3,0
0,12,0.002,dictator,4,3241.756706,3241.756706,3241.756706,3244.981276,98.3,3,0
0,12,0.002,strategic,4,3241.756706,3241.756706,3241.756706,3244.981276,98.3,3,0
0,12,0.002,taker,4,3241.756946,3241.756946,3241.756946,3244.981756,98.3,3,0
0,12,0.002,uncontrolled,4,3251.384097,3251.384097,3251.384097,3254.608667,98.3,3,0
1,12,0.002,dictator,4,3244.689235,3244.689235,3244.689235,3248.184385,89.7,3,0
1,12,0.002,strategic,4,3244.895934,3244.895934,3244.895934,3247.774449,89.7,3,0
1,12,0.002,taker,4,3245.015082,3245.015082,3245.015082,3249.786972,89.7,3,0
1,12,0.002,uncontrolled,4,3305.163294,3305.163294,3305.163294,3307.905104,89.7,3,0
2,12,0.002,dictator,4,2283.12686,2283.12686,2283.12686,2288.241835,136.9,2,0
2,12,0.002,strategic,4,2283.355031,2283.355031,2283.355031,2287.845852,136.9,2,0
2,12,0.002,taker,4,2283.42801,2283.42801,2283.42801,2289.7757,136.9,2,0
2,12,0.002,uncontrolled,4,2321.430622,2321.430622,2321.430622,2324.745092,136.9,2,0
3,12,0.002,dictator,4,4183.236548,4183.236548,4183.236548,4184.944748,58.2,4,0
3,12,0.002,strategic,4,4183.409656,4183.409656,4183.409656,4184.789426,58.2,4,0
3,12,0.002,taker,4,4183.236548,4183.236548,4183.236548,4184.944748,58.2,4,0
3,12,0.002,uncontrolled,4,4228.571198,4228.571198,4228.571198,4230.264818,58.2,4,0
0,8,0.01,dictator,4,3130.61638,3130.61638,3130.61638,3132.797161,28.5,3,0
0,8,0.01,strategic,4,3130.651177,3130.651177,3130.651177,3132.721802,28.5,3,0
0,8,0.01,taker,4,3131.694774,3131.694774,3131.694774,3135.756024,28.5,3,0
0,8,0.01,uncontrolled,4,3133.898062,3133.898062,3133.898062,3137.959312,28.5,3,0
1,8,0.01,dictator,4,3090.636755,3090.636755,3090.636755,3090.771955,5.2,3,0
1,8,0.01,strategic,4,3090.656374,3090.656374,3090.656374,3090.760943,5.2,3,0
1,8,0.01,taker,4,3090.636755,3090.636755,3090.636755,3090.771955,5.2,3,0
1,8,0.01,uncontrolled,4,3095.958626,3095.958626,3095.958626,3096.093826,5.2,3,0
2,8,0.01,dictator,4,3146.797986,3146.797986,3146.797986,3149.738692,26.6,3,0
2,8,0.01,strategic,4,3147.102276,3147.102276,3147.102276,3149.168201,26.6,3,0
2,8,0.01,taker,4,3146.852158,3146.852158,3146.852158,3150.389958,26.6,3,0
2,8,0.01,uncontrolled,4,3168.499644,3168.499644,3168.499644,3172.037444,26.6,3,0
3,8,0.01,dictator,4,3128.013684,3128.013684,3128.013684,3130.875023,26.1,3,0
3,8,0.01,strategic,4,3128.290791,3128.290791,3128.290791,3130.318716,26.1,3,0
3,8,0.01,taker,4,3128.056579,3128.056579,3128.056579,3131.462625,26.09998411,3,0
3,8,0.01,uncontrolled,4,3128.056604,3128.056604,3128.056604,3131.462654,26.1,3,0
0,12,0.01,dictator,4,3293.469549,3293.469549,3293.469549,3306.975602,98.3,3,0
0,12,0.01,strategic,4,3294.360175,3294.360175,3294.360175,3305.129265,98.300001,3,0
0,12,0.01,taker,4,3293.976186,3293.976186,3293.976186,3310.100236,98.3,3,0
0,12,0.01,uncontrolled,4,3303.602377,3303.602377,3303.602377,3319.725227,98.3,3,0
1,12,0.01,dictator,4,3291.813757,3291.813529,3291.81438,3303.728127,89.7,3,0.0008512432305
1,12,0.01,strategic,4,3292.801144,3292.801144,3292.801144,3301.761282,89.7,3,0
1,12,0.01,taker,4,3299.982642,3299.982642,3299.982642,3323.842092,89.7,3,0
1,12,0.01,uncontrolled,4,3352.010534,3352.010534,3352.010534,3365.719584,89.7,3,0
2,12,0.01,dictator,4,2355.250175,2355.250175,2355.250175,2373.845923,136.9,2,0
2,12,0.01,strategic,4,2356.500199,2356.500199,2356.500199,2371.25318,136.9,2,0
2,12,0.01,taker,4,2363.57877,2363.57877,2363.57877,2395.31722,136.9,2,0
2,12,0.01,uncontrolled,4,2389.448502,2389.448502,2389.448502,2406.020852,136.9,2,0
3,12,0.01,dictator,4,4211.902241,4211.902241,4211.902241,4218.092592,58.2,4,0
3,12,0.01,strategic,4,4212.657587,4212.657587,4212.657587,4217.045464,58.200001,4,0
3,12,0.01,taker,4,4213.349348,4213.349348,4213.349348,4221.890348,58.2,4,0
3,12,0.01,uncontrolled,4,4258.625678,4258.625678,4258.625678,4267.093778,58.2,4,0
0,8,0.05,dictator,4,3176.599765,3176.599765,3176.599765,3179.425271,20.3,3,0
0,8,0.05,strategic,4,3176.660809,3176.660809,3176.660809,3179.311378,20.3,3,0
0,8,0.05,taker,4,3177.929598,3177.929598,3177.929598,3183.081848,20.3,3,0
0,8,0.05,uncontrolled,4,3207.143062,3207.143062,3207.143062,3227.449312,28.5,3,0
1,8,0.05,dictator,4,3101.356057,3101.356057,3101.356057,3101.609557,5.2,3,0
1,8,0.05,strategic,4,3101.364018,3101.364018,3101.364018,3101.600354,5.2,3,0
1,8,0.05,taker,4,3101.577555,3101.577555,3101.577555,3102.253555,5.2,3,0
1,8,0.05,uncontrolled,4,3106.899426,3106.899426,3106.899426,3107.575426,5.2,3,0
2,8,0.05,dictator,4,3183.304293,3183.304293,3183.304293,3185.105516,15.7,3,0
2,8,0.05,strategic,4,3183.361116,3183.361116,3183.361116,3184.982457,15.7,3,0
2,8,0.05,taker,4,3183.647134,3183.647134,3183.647134,3186.806384,15.7,3,0
2,8,0.05,uncontrolled,4,3235.850844,3235.850844,3235.850844,3253.539844,26.6,3,0
3,8,0.05,dictator,4,3186.063362,3186.063362,3186.063362,3189.31234,21.8,3,0
3,8,0.05,strategic,4,3186.420919,3186.420919,3186.420919,3188.857125,21.8,3,0
3,8,0.05,taker,4,3193.880775,3193.880775,3193.880775,3210.911017,26.09999366,3,0
3,8,0.05,uncontrolled,4,3193.880804,3193.880804,3193.880804,3210.911054,26.1,3,0
0,12,0.05,dictator,4,3532.422647,3532.422647,3532.422647,3582.544435,98.3,3,0
0,12,0.05,strategic,4,3532.609421,3532.609421,3532.609421,3582.150933,98.3,3,0
0,12,0.05,taker,4,3555.072386,3555.072386,3555.072386,3635.692636,98.3,3,0
0,12,0.05,uncontrolled,4,3564.693777,3564.693777,3564.693777,3645.308027,98.3,3,0
1,12,0.05,dictator,4,3503.675186,3503.675186,3503.675186,3535.924096,89.7,3,0
1,12,0.05,strategic,4,3506.215867,3506.215867,3506.215867,3531.612517,89.7,3,0
1,12,0.05,taker,4,3574.820442,3574.820442,3574.820442,3694.117692,89.7,3,0
1,12,0.05,uncontrolled,4,3586.246734,3586.246734,3586.246734,3654.791984,89.7,3,0
2,12,0.05,dictator,4,2684.52522,2684.52522,2684.52522,2744.782774,136.900001,2,0
2,12,0.05,strategic,4,2688.26404,2688.26404,2688.26404,2736.781806,136.9,2,0
2,12,0.05,taker,4,2764.33257,2764.33257,2764.33257,2923.02482,136.9,2,0
2,12,0.05,uncontrolled,4,2729.537902,2729.537902,2729.537902,2812.399652,136.9,2,0
3,12,0.05,dictator,4,4338.715205,4338.715205,4338.715205,4351.963696,51.8,4,8.36498657e-08
3,12,0.05,strategic,4,4340.70147,4340.696613,4340.703089,4348.778263,46.8,4,0.006476022158
3,12,0.05,taker,4,4363.163039,4363.163039,4363.163039,4407.071539,51.8,4,0
3,12,0.05,uncontrolled,4,4408.898078,4408.898078,4408.898078,4451.238578,58.2,4,0
