seed,n_trips,b,regime,n_draws,total_system_mean,total_system_min,total_system_max,total_private_mean,energy_kwh_mean,fleet,selection_spread
0,8,0,dictator,4,3113.383524,3113.383524,3113.383524,3113.383524,28.5,3,0
0,8,0,strategic,4,3113.383524,3113.383524,3113.383524,3113.383524,28.5,3,0
0,8,0,taker,4,3113.383524,3113.383524,3113.383524,3113.383524,28.5,3,0
0,8,0,uncontrolled,4,3115.586812,3115.586812,3115.586812,3115.586812,28.5,3,0
1,8,0,dictator,4,3087.901555,3087.901555,3087.901555,3087.901555,5.2,3,0
1,8,0,strategic,4,3087.901555,3087.901555,3087.901555,3087.901555,5.2,3,0
1,8,0,taker,4,3087.901555,3087.901555,3087.901555,3087.901555,5.2,3,0
1,8,0,uncontrolled,4,3093.223426,3093.223426,3093.223426,3093.223426,5.2,3,0
2,8,0,dictator,4,3130.014358,3130.014358,3130.014358,3130.014358,26.6,3,0
2,8,0,strategic,4,3130.014358,3130.014358,3130.014358,3130.014358,26.6,3,0
2,8,0,taker,4,3130.014358,3130.014358,3130.014358,3130.014358,26.6,3,0
2,8,0,uncontrolled,4,3151.661844,3151.661844,3151.661844,3151.661844,26.6,3,0
3,8,0,dictator,4,3111.600554,3111.600554,3111.600554,3111.600554,26.1,3,0
3,8,0,strategic,4,3111.600554,3111.600554,3111.600554,3111.600554,26.1,3,0
3,8,0,taker,4,3111.600554,3111.600554,3111.600554,3111.600554,26.1,3,0
3,8,0,uncontrolled,4,3111.600554,3111.600554,3111.600554,3111.600554,26.1,3,0
0,12,0,dictator,4,3228.702136,3228.702136,3228.702136,3228.702136,98.3,3,0
0,12,0,strategic,4,3228.702136,3228.702136,3228.702136,3228.702136,98.3,3,0
0,12,0,taker,4,3228.702136,3228.702136,3228.702136,3228.702136,98.3,3,0
0,12,0,uncontrolled,4,3238.329527,3238.329527,3238.329527,3238.329527,98.3,3,0
1,12,0,dictator,4,3231.273192,3231.273192,3231.273192,3231.273192,89.7,3,0
1,12,0,strategic,4,3231.273192,3231.273192,3231.273192,3231.273192,89.7,3,0
1,12,0,taker,4,3231.273192,3231.273192,3231.273192,3231.273192,89.7,3,0
1,12,0,uncontrolled,4,3293.451484,3293.451484,3293.451484,3293.451484,89.7,3,0
2,12,0,dictator,4,2263.39032,2263.39032,2263.39032,2263.39032,136.9,2,0
2,12,0,strategic,4,2263.39032,2263.39032,2263.39032,2263.39032,136.9,2,0
2,12,0,taker,4,2263.39032,2263.39032,2263.39032,2263.39032,136.9,2,0
2,12,0,uncontrolled,4,2304.426152,2304.426152,2304.426152,2304.426152,136.9,2,0
3,12,0,dictator,4,4175.708348,4175.708348,4175.708348,4175.708348,58.2,4,0
3,12,0,strategic,4,4175.708348,4175.708348,4175.708348,4175.708348,58.2,4,0
3,12,0,taker,4,4175.708348,4175.708348,4175.708348,4175.708348,58.2,4,0
3,12,0,uncontrolled,4,4211.45462,4208.253635,4221.057578,4211.45462,58.2,4,12.80394336
0,8,0.002,dictator,4,3117.045774,3117.045774,3117.045774,3117.858024,28.5,3,0
0,8,0.002,strategic,4,3117.16821,3117.16821,3117.16821,3117.774335,28.5,3,0
0,8,0.002,taker,4,3117.045774,3117.045774,3117.045774,3117.858024,28.5,3,0
0,8,0.002,uncontrolled,4,3119.249062,3119.249062,3119.249062,3120.061312,28.5,3,0
1,8,0.002,dictator,4,3088.448595,3088.448595,3088.448595,3088.475635,5.2,3,0
1,8,0.002,strategic,4,3088.448595,3088.448595,3088.448595,3088.475635,5.2,3,0
1,8,0.002,taker,4,3088.448595,3088.448595,3088.448595,3088.475635,5.2,3,0
1,8,0.002,uncontrolled,4,3093.770466,3093.770466,3093.770466,3093.797506,5.2,3,0
2,8,0.002,dictator,4,3133.381918,3133.381918,3133.381918,3134.089478,26.6,3,0
2,8,0.002,strategic,4,3133.381918,3133.381918,3133.381918,3134.089478,26.6,3,0
