cell,seed,n_trips,slot,kind,tie_margin,economic,load_l1,load_jump_slot,delta_lo,delta_hi,schedule_changed,margin_b_at_a,margin_a_at_b
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.21,-0.2,True,,
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.2,-0.19,True,,
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.17,-0.16,True,,
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.16,-0.15,True,,
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.15,-0.14,True,,
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.14,-0.13,True,,
s1_n8_slot12,1,8,12,degenerate_tie,False,False,0,0,-0.13,-0.12,True,,
s1_n8_slot12,1,8,12,charging_only,False,True,10.4,-5.2,-0.08,-0.07,False,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-1.49,-1.48,True,,
s1_n8_slot16,1,8,16,duty_change,False,True,58.9,-53.7,-1.47,-1.46,True,0.05607970498,0.480920295
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-1.46,-1.45,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-1.45,-1.44,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-1.42,-1.41,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-1.41,-1.4,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-0.74,-0.73,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-0.68,-0.67,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-0.67,-0.66,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-0.27,-0.26,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,-0.23,-0.22,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.03,0.04,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.06,0.07,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.07,0.08,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.1,0.11,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.11,0.12,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.12,0.13,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.13,0.14,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.16,0.17,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.18,0.19,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.23,0.24,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.24,0.25,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.26,0.27,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.27,0.28,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.45,0.46,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.51,0.52,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,0.73,0.74,True,,
s1_n8_slot16,1,8,16,degenerate_tie,False,False,0,0,1.14,1.15,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.49,-1.48,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.48,-1.47,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.47,-1.46,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.45,-1.44,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.4,-1.39,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.39,-1.38,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.38,-1.37,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.34,-1.33,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.31,-1.3,True,,
s2_n8_slot8,2,8,8,duty_change,False,True,42.3,-15.7,-1.27,-1.26,True,0.1057063976,0.05129360239
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.26,-1.25,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.25,-1.24,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.24,-1.23,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.23,-1.22,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.18,-1.17,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.15,-1.14,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.1,-1.09,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.09,-1.08,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.07,-1.06,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.05,-1.04,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-1.04,-1.03,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.86,-0.85,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.49,-0.48,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.48,-0.47,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.42,-0.41,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.39,-0.38,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.38,-0.37,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,-0.37,-0.36,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,0.63,0.64,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,0.65,0.66,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,0.66,0.67,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,0.79,0.8,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,0.8,0.81,True,,
s2_n8_slot8,2,8,8,degenerate_tie,False,False,0,0,0.87,0.88,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.49,-1.48,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.48,-1.47,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.47,-1.46,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.46,-1.45,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.45,-1.44,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.44,-1.43,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.43,-1.42,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.42,-1.41,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.41,-1.4,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.4,-1.39,True,,
