experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,obj_true,energy_cost_model,oracle_tier,replay_ok,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,adaptive_rounds,adaptive_lb,adaptive_ub,adaptive_gap_abs,adaptive_converged,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_cell,x_seed,x_shape,x_b_scale,x_alpha,x_tol_price,x_iter,x_price_residual,x_load_residual,x_schedule_recurred,x_response_recurred,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length,n_replay_violations,replay_original_ok,replay_effective_ok,replay_revalidation_status,replay_policy_version,replay_tolerance_kwh
phase1-loop,taker-iteration,2026-08-15T01:33:15.686649+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3242.7324725478106,3242.7324725478106,92.73247254781063,exact-milp/taker,True,GRB,OPTIMAL,3242.7324725478106,3242.7324725478106,0.0,3101.9999999999995,140.73247254781108,2.891918420791626,0.04409027099609375,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,10,0.0023919340990860016,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:19.219058+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3242.9573528650644,3242.9573528650644,92.95735286506442,exact-milp/taker,True,GRB,OPTIMAL,3242.9573528650644,3242.9573528650644,0.0,3101.9999999999995,140.95735286506488,3.398608446121216,0.04151344299316406,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,11,0.002152740689177368,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:22.332437+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3243.1597095633347,3243.1597095633347,93.15970956333467,exact-milp/taker,True,GRB,OPTIMAL,3243.1597095633347,3243.159709563334,1.4021737799267745e-16,3101.9999999999995,141.15970956333513,2.9933221340179443,0.039406776428222656,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,12,0.0019374666202596202,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:26.572941+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3243.3418502075683,3243.3418502075683,93.34185020756831,exact-milp/taker,True,GRB,OPTIMAL,3243.3418502075683,3243.3418502075683,0.0,3101.9999999999995,141.34185020756877,4.118269920349121,0.041409969329833984,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,13,0.001743719958233747,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:29.791615+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3243.505792758847,3243.505792758847,93.50579275884684,exact-milp/taker,True,GRB,OPTIMAL,3243.505792758847,3243.5057927588464,1.4020241674970685e-16,3101.9999999999995,141.5057927588473,3.0871243476867676,0.043477535247802734,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,14,0.0015693479624103723,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:33.274504+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3243.653301671886,3243.653301671886,93.65330167188586,exact-milp/taker,True,GRB,OPTIMAL,3243.653301671886,3243.6533016718854,1.4019604088145682e-16,3101.9999999999995,141.6533016718863,3.2578487396240234,0.04711413383483887,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,15,0.0014124131661692463,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:36.921843+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3243.7860865215325,3243.7860865215325,93.78608652153252,exact-milp/taker,True,GRB,OPTIMAL,3243.7860865215325,3243.786086521532,1.4019030193637445e-16,3101.9999999999995,141.78608652153298,3.5254645347595215,0.04126620292663574,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,16,0.0012711718495523883,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:41.154344+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3243.905605441414,3243.905605441414,93.90560544141408,exact-milp/taker,True,GRB,OPTIMAL,3243.905605441414,3243.905605441414,0.0,3101.9999999999995,141.90560544141454,4.10551905632019,0.04146003723144531,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,17,0.001144054664597105,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:44.471710+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3244.013130319019,3244.013130319019,94.01313031901918,exact-milp/taker,True,GRB,OPTIMAL,3244.013130319019,3244.0131303190187,1.4018049021945354e-16,3101.9999999999995,142.01313031901964,3.19240403175354,0.04376411437988281,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,18,0.0010441181899172314,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:47.736606+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.109934794412,3244.109934794412,94.10993479441186,exact-milp/taker,True,GRB,OPTIMAL,3244.109934794412,3244.109934794412,0.0,3101.9999999999995,142.1099347944123,3.141300916671753,0.04376411437988281,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,19,0.0009266842783236529,0.6000000000000014,True,True,,,,,,0,True,True,,,
