seed,n_trips,b,ub_ch,lb_best,z_d_ub,tol_d,uplift_lo,uplift_hi,width,positive_uplift_certified
0,8,0.01,3130.61637994,3130.61539359,3130.61637962,0.01,-0.01000032000047213,0.0009860299996944377,0.010986350000166567,False
0,8,0.05,3176.59926635,3176.59875023,3176.59976548,0.01,-0.009500870000465511,0.0010152499999094289,0.01051612000037494,False
0,12,0.01,3293.46873839,3293.46739674,3293.46954908,0.01,-0.009189310000238038,0.002152340000066033,0.011341650000304071,False
0,12,0.05,3532.42185193,3532.42160527,3532.42264656,0.01,-0.009205370000017865,0.0010412900001028902,0.010246660000120755,False
1,8,0.01,3090.63675529,3090.63675529,3090.63675529,0.01,-0.010000000000218279,0.0,0.010000000000218279,False
1,8,0.05,3101.35512475,3101.35487719,3101.35605701,0.01,-0.009067740000318736,0.0011798199998338532,0.010247560000152589,False
1,12,0.01,3291.81199668,3291.81141721,3291.81518062,0.01,-0.006816060000346624,0.0037634099999195314,0.010579470000266156,False
1,12,0.05,3503.64200594,3503.64122629,3503.675621,0.01,0.023615059999428922,0.03439471000001504,0.010779650000586116,True
2,8,0.01,3146.50557686,3146.50460517,3146.79798562,0.01,0.2824087599997256,0.2933804499998587,0.010971690000133094,True
2,8,0.05,3182.91558822,3182.91465545,3183.30429291,0.01,0.3787046900001769,0.38963746000035826,0.010932770000181335,True
2,12,0.01,2355.24818289,2355.2477304,2355.25017498,0.01,-0.008007910000287666,0.0024445799999739393,0.010452490000261605,False
2,12,0.05,2682.34848277,2682.34811233,2684.52521567,0.01,2.1667328999997153,2.1771033400000306,0.010370440000315284,True
3,8,0.01,3128.01349828,3128.01307633,3128.01368432,0.01,-0.009813960000428779,0.0006079899999349436,0.010421950000363722,False
3,8,0.05,3185.75100696,3185.75020174,3186.06336188,0.01,0.3023549199997433,0.3131601399995816,0.0108052199998383,True
3,12,0.01,4211.8715311,4211.87104187,4211.90224084,0.01,0.020709739999801968,0.031198969999422843,0.010489229999620875,True
3,12,0.05,4338.71402911,4338.71359147,4338.71417842,0.01,-0.00985069000034855,0.000586950000069919,0.010437640000418469,False
4,8,0.01,2176.93347362,2176.93296032,2176.93404971,0.01,-0.009423909999895841,0.0010893900002884038,0.010513300000184245,False
4,8,0.05,2309.27350833,2309.2732271,2309.59362834,0.01,0.31012000999999145,0.3204012400001375,0.010281230000146024,True
4,12,0.01,3261.57428099,3261.57416576,3261.68680416,0.01,0.10252317000004041,0.11263839999992342,0.010115229999883013,True
4,12,0.05,3433.71002946,3433.70971759,3438.98793369,0.01,5.267904229999658,5.278216100000009,0.01031187000035061,True
5,8,0.01,2214.96963623,2214.96912998,2214.96981707,0.01,-0.009819160000461125,0.0006870899997011293,0.010506250000162254,False
5,8,0.05,2359.93515214,2359.93455597,2362.08066359,0.01,2.13551144999974,2.146107619999839,0.010596170000098937,True
5,12,0.01,3304.65643686,3304.65550636,3307.50060438,0.01,2.8341675199994825,2.845098020000023,0.010930500000540633,True
5,12,0.05,3501.55751794,3501.55652027,3514.51130714,0.01,12.943789200000083,12.954786870000135,0.010997670000051585,True
6,8,0.01,2153.79434815,2153.79420442,2153.79433052,0.01,-0.010017630000220379,0.00012610000021595624,0.010143730000436335,False
6,8,0.05,2256.9322731,2256.93186733,2257.76110052,0.01,0.8188274199997068,0.8292331900001955,0.010405770000488701,True
6,12,0.01,2365.18855324,2365.18819104,2365.37629636,0.01,0.17774311999983183,0.18810531999997693,0.010362200000145094,True
6,12,0.05,2680.09823225,2680.09775962,2687.42374805,0.01,7.315515799999957,7.325988430000052,0.010472630000094796,True
7,8,0.01,2156.00004452,2155.99959399,2156.13680197,0.01,0.12675744999978633,0.13720797999985734,0.010450530000071012,True
7,8,0.05,2254.99982017,2254.99904388,2258.02258048,0.01,3.012760309999976,3.0235366000001704,0.010776290000194422,True
7,12,0.01,3206.30207735,3206.30136097,3206.40138969,0.01,0.08931233999965116,0.10002871999995477,0.010716380000303616,True
7,12,0.05,3353.49015822,3353.48984183,3353.68837269,0.01,0.18821446999982072,0.198530860000119,0.01031639000029827,True
8,8,0.01,2148.84528292,2148.84433835,2150.6129456,0.01,1.757662679999612,1.7686072500000591,0.010944570000447129,True
8,8,0.05,2238.08009132,2238.07933119,2242.88307089,0.01,4.792979569999716,4.803739699999824,0.010760130000107893,True
8,12,0.01,3280.39708611,3280.39687094,3280.71424681,0.01,0.30716069999971296,0.317375869999978,0.010215170000265061,True
8,12,0.05,3477.46920942,3477.46881575,3486.53546495,0.01,9.056255529999817,9.066649200000029,0.010393670000212296,True
9,8,0.01,2173.58752825,2173.58694474,2173.58792922,0.01,-0.009599030000117637,0.0009844800001701515,0.010583510000287788,False
9,8,0.05,2295.26942753,2295.26883998,2295.56360337,0.01,0.2841758399995342,0.29476338999984364,0.01058755000030942,True
9,12,0.01,2396.28997779,2396.28953809,2399.12303513,0.01,2.82305733999965,2.833497040000111,0.010439700000461016,True
9,12,0.05,2744.34014798,2744.33958059,2754.85862457,0.01,10.508476589999646,10.519043979999879,0.01056739000023299,True
10,8,0.01,2154.57770945,2154.57732487,2155.15348077,0.01,0.5657713199998398,0.576155899999776,0.01038457999993625,True
10,8,0.05,2261.564441,2261.56349902,2264.993012,0.01,3.4185709999997016,3.4295129799997994,0.010941980000097828,True
10,12,0.01,3236.9506128,3236.95029025,3236.97346438,0.01,0.012851580000187823,0.023174130000370496,0.010322550000182673,True
10,12,0.05,3408.90194836,3408.90120258,3413.90421243,0.01,4.992264069999692,5.003009850000126,0.010745780000434024,True
11,8,0.01,3132.32954328,3132.32954328,3132.32954328,0.01,-0.010000000000218279,0.0,0.010000000000218279,False
11,8,0.05,3165.8546685,3165.85426491,3165.85465315,0.01,-0.010015350000230683,0.0003882400001202768,0.01040359000035096,False
11,12,0.01,4166.14076573,4166.14076573,4166.14076573,0.01,-0.010000000000218279,0.0,0.010000000000218279,False
11,12,0.05,4224.20514222,4224.20476991,4224.41171069,0.01,0.19656846999987465,0.20694077999996807,0.010372310000093421,True
12,8,0.01,2170.77538054,2170.77452117,2171.35431364,0.01,0.5689330999998674,0.5797924700000294,0.010859370000162016,True
12,8,0.05,2271.45259262,2271.45163901,2274.66875522,0.01,3.2061625999999706,3.217116210000313,0.01095361000034245,True
12,12,0.01,3200.00200669,3200.00106343,3201.34767674,0.01,1.3356700499998624,1.3466133100000661,0.010943260000203736,True
