scope,instances,uplift_lo_min,uplift_lo_median,uplift_lo_max,uplift_hi_min,uplift_hi_median,uplift_hi_max,width_min,width_median,width_max,n_positive_lo,n_negative_hi
overall,64,-0.010017630000220379,0.15225028499980908,12.943789200000083,0.0,0.16265664999991714,12.954786870000135,0.010000000000218279,0.010451510000166309,0.011341650000304071,38,0
n8_b0.01,16,-0.010017630000220379,-0.009706495000273208,1.757662679999612,0.0,0.0009852549999322946,1.7686072500000591,0.010000000000218279,0.010478390000116633,0.010986350000166567,5,0
n8_b0.05,16,-0.010015350000230683,0.30623746499986737,4.792979569999716,0.0,0.31678068999985953,4.803739699999824,0.010000000000218279,0.010591860000204179,0.01095361000034245,10,0
n12_b0.01,16,-0.010000000000218279,0.05501103999972656,2.8341675199994825,0.0,0.06561384499968881,2.845098020000023,0.010000000000218279,0.010400950000303055,0.011341650000304071,10,0
n12_b0.05,16,-0.00985069000034855,3.5794984849997036,12.943789200000083,0.000586950000069919,3.5900565950000782,12.954786870000135,0.010246660000120755,0.010416740000209757,0.010997670000051585,13,0
