seed,n_trips,b,witness,witness_lo,witness_hi,a2_lo,a2_hi,intersects_a2,z_d_ub_equal
0,8,0.01,a3,-0.010063500000342174,0.0004322599997976795,-0.01000032000047213,0.0009860299996944377,True,True
0,8,0.01,a4,-0.010063500000342174,0.0004322599997976795,-0.01000032000047213,0.0009860299996944377,True,True
0,8,0.01,a5,-0.010063500000342174,0.0004322599997976795,-0.01000032000047213,0.0009860299996944377,True,True
0,8,0.05,a3,-0.009745510000357172,0.0006406099996638659,-0.009500870000465511,0.0010152499999094289,True,True
0,8,0.05,a4,-0.009745510000357172,0.0006406099996638659,-0.009500870000465511,0.0010152499999094289,True,True
0,8,0.05,a5,-0.009745510000357172,0.0006406099996638659,-0.009500870000465511,0.0010152499999094289,True,True
0,12,0.01,a3,-0.008679640000082145,0.0017494700000497687,-0.009189310000238038,0.002152340000066033,True,True
0,12,0.01,a4,-0.009189310000238038,0.0028670599999713886,-0.009189310000238038,0.002152340000066033,True,True
0,12,0.01,a5,-0.008679640000082145,0.0017494700000497687,-0.009189310000238038,0.002152340000066033,True,True
0,12,0.05,a3,-0.009178960000099323,0.0012133300001551106,-0.009205370000017865,0.0010412900001028902,True,True
0,12,0.05,a4,-0.009266840000236698,0.0015673100001549756,-0.009205370000017865,0.0010412900001028902,True,True
0,12,0.05,a5,-0.009167690000140283,0.001199809999889112,-0.009205370000017865,0.0010412900001028902,True,True
1,8,0.01,a3,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,True
1,8,0.01,a4,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,True
1,8,0.01,a5,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,True
1,8,0.05,a3,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,True,True
1,8,0.05,a4,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,True,True
1,8,0.05,a5,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,True,True
1,12,0.01,a3,-0.006757670000297367,0.0038778899997851113,-0.006816060000346624,0.0037634099999195314,True,True
1,12,0.01,a4,-0.006524210000407038,0.004028589999961696,-0.006816060000346624,0.0037634099999195314,True,True
1,12,0.01,a5,-0.006604260000131035,0.0037585299996862886,-0.006816060000346624,0.0037634099999195314,True,True
1,12,0.05,a3,0.0236634499997308,0.0345282700000098,0.023615059999428922,0.03439471000001504,True,True
1,12,0.05,a4,0.023515809999480553,0.03420139999980165,0.023615059999428922,0.03439471000001504,True,True
1,12,0.05,a5,0.023808579999695212,0.0342989599998873,0.023615059999428922,0.03439471000001504,True,True
2,8,0.01,a3,0.2822271599998203,0.2926590199999737,0.2824087599997256,0.2933804499998587,True,True
2,8,0.01,a4,0.2824087599997256,0.2933804499998587,0.2824087599997256,0.2933804499998587,True,True
2,8,0.01,a5,0.2822271599998203,0.2926590199999737,0.2824087599997256,0.2933804499998587,True,True
2,8,0.05,a3,0.37870648999978584,0.3896392599999672,0.3787046900001769,0.38963746000035826,True,True
2,8,0.05,a4,0.3787046900001769,0.38963985000009416,0.3787046900001769,0.38963746000035826,True,True
2,8,0.05,a5,0.37870648999978584,0.3896392599999672,0.3787046900001769,0.38963746000035826,True,True
2,12,0.01,a3,-0.007905460000529274,0.002363000000059401,-0.008007910000287666,0.0024445799999739393,True,True
2,12,0.01,a4,-0.007917730000372103,0.002844339999683143,-0.008007910000287666,0.0024445799999739393,True,True
2,12,0.01,a5,-0.00787700000046243,0.0029420699997899646,-0.008007910000287666,0.0024445799999739393,True,True
2,12,0.05,a3,2.1668593799995506,2.1772505099997943,2.1667328999997153,2.1771033400000306,True,True
2,12,0.05,a4,2.1664067499996236,2.1773789599997144,2.1667328999997153,2.1771033400000306,True,True
2,12,0.05,a5,2.166806949999682,2.177111479999894,2.1667328999997153,2.1771033400000306,True,True
3,8,0.01,a3,-0.009811950000312208,0.0006038199999238714,-0.009813960000428779,0.0006079899999349436,True,True
3,8,0.01,a4,-0.009813960000428779,0.0006018199997015472,-0.009813960000428779,0.0006079899999349436,True,True
3,8,0.01,a5,-0.009812140000576619,0.0006036299996594607,-0.009813960000428779,0.0006079899999349436,True,True
3,8,0.05,a3,0.30284936999942147,0.31295982999972694,0.3023549199997433,0.3131601399995816,True,True
3,8,0.05,a4,0.30289274999950067,0.3134419899997738,0.3023549199997433,0.3131601399995816,True,True
3,8,0.05,a5,0.30284800999970685,0.31295846999955756,0.3023549199997433,0.3131601399995816,True,True
