seed,n_trips,b,a2_lo,a2_hi,a3_lo,a3_hi,a4_lo,a4_hi,a5_lo,a5_hi,intersection_lo,intersection_hi,intersection_nonempty,lo_spread,hi_spread,max_spread,dictator_shared,metadata_ok,pass
0,8,0.01,-0.01000032000047213,0.0009860299996944377,-0.010063500000342174,0.0004322599997976795,-0.010063500000342174,0.0004322599997976795,-0.010063500000342174,0.0004322599997976795,-0.01000032000047213,0.0004322599997976795,True,6.317999987004441e-05,0.0005537699998967582,0.0005537699998967582,True,True,True
0,8,0.05,-0.009500870000465511,0.0010152499999094289,-0.009745510000357172,0.0006406099996638659,-0.009745510000357172,0.0006406099996638659,-0.009745510000357172,0.0006406099996638659,-0.009500870000465511,0.0006406099996638659,True,0.0002446399998916604,0.000374640000245563,0.000374640000245563,True,True,True
0,12,0.01,-0.009189310000238038,0.002152340000066033,-0.008679640000082145,0.0017494700000497687,-0.009189310000238038,0.0028670599999713886,-0.008679640000082145,0.0017494700000497687,-0.008679640000082145,0.0017494700000497687,True,0.0005096700001558929,0.00111758999992162,0.00111758999992162,True,True,True
0,12,0.05,-0.009205370000017865,0.0010412900001028902,-0.009178960000099323,0.0012133300001551106,-0.009266840000236698,0.0015673100001549756,-0.009167690000140283,0.001199809999889112,-0.009167690000140283,0.0010412900001028902,True,9.915000009641517e-05,0.0005260200000520854,0.0005260200000520854,True,True,True
1,8,0.01,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,0.0,0.0,0.0,True,True,True
1,8,0.05,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.0011798199998338532,True,0.0,0.0,0.0,True,True,True
1,12,0.01,-0.006816060000346624,0.0037634099999195314,-0.006757670000297367,0.0038778899997851113,-0.006524210000407038,0.004028589999961696,-0.006604260000131035,0.0037585299996862886,-0.006524210000407038,0.0037585299996862886,True,0.00029184999993958627,0.0002700600002754072,0.00029184999993958627,True,True,True
1,12,0.05,0.023615059999428922,0.03439471000001504,0.0236634499997308,0.0345282700000098,0.023515809999480553,0.03420139999980165,0.023808579999695212,0.0342989599998873,0.023808579999695212,0.03420139999980165,True,0.0002927700002146594,0.00032687000020814594,0.00032687000020814594,True,True,True
2,8,0.01,0.2824087599997256,0.2933804499998587,0.2822271599998203,0.2926590199999737,0.2824087599997256,0.2933804499998587,0.2822271599998203,0.2926590199999737,0.2824087599997256,0.2926590199999737,True,0.00018159999990530196,0.0007214299998850038,0.0007214299998850038,True,True,True
2,8,0.05,0.3787046900001769,0.38963746000035826,0.37870648999978584,0.3896392599999672,0.3787046900001769,0.38963985000009416,0.37870648999978584,0.3896392599999672,0.37870648999978584,0.38963746000035826,True,1.7999996089201886e-06,2.3899997358967084e-06,2.3899997358967084e-06,True,True,True
2,12,0.01,-0.008007910000287666,0.0024445799999739393,-0.007905460000529274,0.002363000000059401,-0.007917730000372103,0.002844339999683143,-0.00787700000046243,0.0029420699997899646,-0.00787700000046243,0.002363000000059401,True,0.000130909999825235,0.0005790699997305637,0.0005790699997305637,True,True,True
2,12,0.05,2.1667328999997153,2.1771033400000306,2.1668593799995506,2.1772505099997943,2.1664067499996236,2.1773789599997144,2.166806949999682,2.177111479999894,2.1668593799995506,2.1771033400000306,True,0.00045262999992701225,0.00027561999968384043,0.00045262999992701225,True,True,True
3,8,0.01,-0.009813960000428779,0.0006079899999349436,-0.009811950000312208,0.0006038199999238714,-0.009813960000428779,0.0006018199997015472,-0.009812140000576619,0.0006036299996594607,-0.009811950000312208,0.0006018199997015472,True,2.010000116570154e-06,6.170000233396422e-06,6.170000233396422e-06,True,True,True
3,8,0.05,0.3023549199997433,0.3131601399995816,0.30284936999942147,0.31295982999972694,0.30289274999950067,0.3134419899997738,0.30284800999970685,0.31295846999955756,0.30289274999950067,0.31295846999955756,True,0.0005378299997573777,0.000483520000216231,0.0005378299997573777,True,True,True
3,12,0.01,0.020709739999801968,0.031198969999422843,0.020749489999616344,0.031226860000060697,0.020749489999616344,0.031226860000060697,0.020749489999616344,0.031226860000060697,0.020749489999616344,0.031198969999422843,True,3.974999981437577e-05,2.7890000637853518e-05,3.974999981437577e-05,True,True,True
3,12,0.05,-0.00985069000034855,0.000586950000069919,-0.010052429999632295,0.0008317299998452654,-0.009814519999963522,0.0006527200002892641,-0.010128529999747116,0.0007198900002549635,-0.009814519999963522,0.000586950000069919,True,0.00031400999978359323,0.00024477999977534637,0.00031400999978359323,True,True,True
4,8,0.01,-0.009423909999895841,0.0010893900002884038,-0.009423909999895841,0.0010893900002884038,-0.009423909999895841,0.0010893900002884038,-0.009423909999895841,0.0010893900002884038,-0.009423909999895841,0.0010893900002884038,True,0.0,0.0,0.0,True,True,True
4,8,0.05,0.31012000999999145,0.3204012400001375,0.3101817699998719,0.3204980800001067,0.31012000999999145,0.3204012400001375,0.3101817699998719,0.3204980800001067,0.3101817699998719,0.3204012400001375,True,6.175999988045078e-05,9.683999996923376e-05,9.683999996923376e-05,True,True,True
4,12,0.01,0.10252317000004041,0.11263839999992342,0.10212921999982427,0.11296588000004704,0.10251291999975365,0.1134623000002648,0.10212921999982427,0.11296588000004704,0.10252317000004041,0.11263839999992342,True,0.0003939500002161367,0.0008239000003413821,0.0008239000003413821,True,True,True
4,12,0.05,5.267904229999658,5.278216100000009,5.26798325999971,5.27909733999968,5.2679991899995,5.278705319999972,5.267692869999792,5.2785087499996735,5.2679991899995,5.278216100000009,True,0.00030631999970864854,0.0008812399996713793,0.0008812399996713793,True,True,True
5,8,0.01,-0.009819160000461125,0.0006870899997011293,-0.009819160000461125,0.0006870899997011293,-0.00986354000042411,0.0004880299998148985,-0.009819160000461125,0.0006870899997011293,-0.009819160000461125,0.0004880299998148985,True,4.4379999962984584e-05,0.0001990599998862308,0.0001990599998862308,True,True,True
5,8,0.05,2.13551144999974,2.146107619999839,2.1356902299994545,2.146045049999884,2.1355469899995114,2.1460027499997523,2.1356902299994545,2.146045049999884,2.1356902299994545,2.1460027499997523,True,0.00017877999971460667,0.00010487000008652103,0.00017877999971460667,True,True,True
5,12,0.01,2.8341675199994825,2.845098020000023,2.834153779999724,2.8445769300001302,2.834286109999539,2.8446266500000092,2.833901429999514,2.8446239400000195,2.834286109999539,2.8445769300001302,True,0.00038468000002467306,0.0005210899998928653,0.0005210899998928653,True,True,True
5,12,0.05,12.943789200000083,12.954786870000135,12.94401427999992,12.95459714000026,12.943813699999737,12.95454509000001,12.944032099999731,12.954845860000205,12.944032099999731,12.95454509000001,True,0.00024289999964821618,0.0003007700001944613,0.0003007700001944613,True,True,True
6,8,0.01,-0.010017630000220379,0.00012610000021595624,-0.010013049999997747,0.0009724999999889405,-0.010087160000239237,0.0005391300001065247,-0.010013049999997747,0.0009724999999889405,-0.010013049999997747,0.00012610000021595624,True,7.411000024148962e-05,0.0008463999997729843,0.0008463999997729843,True,True,True
6,8,0.05,0.8188274199997068,0.8292331900001955,0.8189213299997391,0.8289791500001229,0.8188623299997744,0.8293558499999563,0.8186166999998932,0.8290903600000092,0.8189213299997391,0.8289791500001229,True,0.000304629999845929,0.0003766999998333631,0.0003766999998333631,True,True,True
6,12,0.01,0.17774311999983183,0.18810531999997693,0.177939619999961,0.18826632000036625,0.17760622000014337,0.18849435000038284,0.1775834099998974,0.18820356000014726,0.177939619999961,0.18810531999997693,True,0.0003562100000635837,0.00038903000040590996,0.00038903000040590996,True,True,True
6,12,0.05,7.315515799999957,7.325988430000052,7.315534399999706,7.326450300000033,7.315466409999772,7.325980540000273,7.315513099999862,7.325934110000162,7.315534399999706,7.325934110000162,True,6.798999993407051e-05,0.0005161899998711306,0.0005161899998711306,True,True,True
7,8,0.01,0.12675744999978633,0.13720797999985734,0.12675744999978633,0.13720797999985734,0.1266783299997769,0.13695501999973203,0.12675744999978633,0.13720797999985734,0.12675744999978633,0.13695501999973203,True,7.912000000942498e-05,0.00025296000012531294,0.00025296000012531294,True,True,True
7,8,0.05,3.012760309999976,3.0235366000001704,3.0131871799999317,3.023702720000074,3.0127739999998084,3.0237293500003943,3.013070020000214,3.0236184700002013,3.0131871799999317,3.0235366000001704,True,0.0004268699999556702,0.00019275000022389577,0.0004268699999556702,True,True,True
7,12,0.01,0.08931233999965116,0.10002871999995477,0.08943743999998333,0.10002690999999686,0.08935015999986717,0.09981541000024663,0.08908397999994122,0.09988354000006439,0.08943743999998333,0.09981541000024663,True,0.0003534600000421051,0.00021330999970814446,0.0003534600000421051,True,True,True
7,12,0.05,0.18821446999982072,0.198530860000119,0.18814230999987558,0.19848383999988073,0.18781889000001684,0.19849001000011413,0.18807725999977265,0.19861098999990645,0.18821446999982072,0.19848383999988073,True,0.0003955799998038856,0.00012715000002572197,0.0003955799998038856,True,True,True
8,8,0.01,1.757662679999612,1.7686072500000591,1.758010629999717,1.7687650299999405,1.757662679999612,1.7686072500000591,1.758010629999717,1.7687650299999405,1.758010629999717,1.7686072500000591,True,0.00034795000010490185,0.00015777999988131342,0.00034795000010490185,True,True,True
8,8,0.05,4.792979569999716,4.803739699999824,4.792848219999996,4.803207060000204,4.792848219999996,4.803207060000204,4.792848219999996,4.803207060000204,4.792979569999716,4.803207060000204,True,0.0001313499997195322,0.0005326399996192777,0.0005326399996192777,True,True,True
8,12,0.01,0.30716069999971296,0.317375869999978,0.306895059999988,0.3176642600001287,0.30718682999986413,0.31727402000024085,0.306895059999988,0.3176642600001287,0.30718682999986413,0.31727402000024085,True,0.0002917699998761236,0.00039023999988785363,0.00039023999988785363,True,True,True
8,12,0.05,9.056255529999817,9.066649200000029,9.056275189999724,9.066730500000176,9.056299379999928,9.074243089999982,9.056121589999748,9.066726540000218,9.056299379999928,9.066649200000029,True,0.00017779000017981161,0.0075938899999528076,0.0075938899999528076,True,True,True
9,8,0.01,-0.009599030000117637,0.0009844800001701515,-0.009599030000117637,0.0009844800001701515,-0.009599030000117637,0.0009844800001701515,-0.009599030000117637,0.0009844800001701515,-0.009599030000117637,0.0009844800001701515,True,0.0,0.0,0.0,True,True,True
9,8,0.05,0.2841758399995342,0.29476338999984364,0.2839867599996069,0.29449353999962113,0.2840559699993719,0.2947029699998893,0.2840584099994885,0.2947484399996938,0.2841758399995342,0.29449353999962113,True,0.00018907999992734403,0.0002698500002225046,0.0002698500002225046,True,True,True
9,12,0.01,2.82305733999965,2.833497040000111,2.8231141799997204,2.8334152500001437,2.8231046999999307,2.8334782500000983,2.8230785599998853,2.8335141900001872,2.8231141799997204,2.8334152500001437,True,5.684000007022405e-05,9.894000004351255e-05,9.894000004351255e-05,True,True,True
9,12,0.05,10.508476589999646,10.519043979999879,10.50848827999971,10.519364089999726,10.508551749999697,10.51912184999992,10.508531939999557,10.519423449999977,10.508551749999697,10.519043979999879,True,7.516000005125534e-05,0.00037947000009808107,0.00037947000009808107,True,True,True
10,8,0.01,0.5657713199998398,0.576155899999776,0.5657475299999533,0.575995199999852,0.5657862799998838,0.5760792900000524,0.565695169999799,0.5765377500001705,0.5657862799998838,0.575995199999852,True,9.11100000848819e-05,0.0005425500003184425,0.0005425500003184425,True,True,True
10,8,0.05,3.4185709999997016,3.4295129799997994,3.418751539999903,3.4290637099998094,3.418708219999644,3.429325779999999,3.418747749999511,3.4290493899998182,3.418751539999903,3.4290493899998182,True,0.00018054000020129024,0.00046358999998119543,0.00046358999998119543,True,True,True
10,12,0.01,0.012851580000187823,0.023174130000370496,0.012731110000004264,0.023515400000178488,0.012860020000061922,0.02345638000042527,0.012524910000138334,0.023505460000251333,0.012860020000061922,0.023174130000370496,True,0.0003351099999235885,0.00034126999980799155,0.00034126999980799155,True,True,True
10,12,0.05,4.992264069999692,5.003009850000126,4.992229109999698,5.002650739999808,4.9921885799994925,5.00280862999989,4.992378709999684,5.0027213999997,4.992378709999684,5.002650739999808,True,0.0001901300001918571,0.00035911000031774165,0.00035911000031774165,True,True,True
11,8,0.01,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,0.0,0.0,0.0,True,True,True
11,8,0.05,-0.010015350000230683,0.0003882400001202768,-0.010249120000025869,0.0004399700001158635,-0.010015350000230683,0.0003882400001202768,-0.010249120000025869,0.0004399700001158635,-0.010015350000230683,0.0003882400001202768,True,0.00023376999979518587,5.1729999995586695e-05,0.00023376999979518587,True,True,True
11,12,0.01,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,2.820999998220941e-05,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,0.0,2.820999998220941e-05,2.820999998220941e-05,True,True,True
11,12,0.05,0.19656846999987465,0.20694077999996807,0.19639195000036125,0.20692017000055785,0.19650154000009934,0.20678657999997085,0.19633038000029046,0.20708072000070388,0.19656846999987465,0.20678657999997085,True,0.00023808999958419008,0.00029414000073302304,0.00029414000073302304,True,True,True
12,8,0.01,0.5689330999998674,0.5797924700000294,0.5691496699996605,0.5796942499996476,0.5691203199994561,0.5799526399996466,0.5687008699997023,0.5794782200000554,0.5691496699996605,0.5794782200000554,True,0.00044879999995828257,0.0004744199995911913,0.0004744199995911913,True,True,True
12,8,0.05,3.2061625999999706,3.217116210000313,3.2063752999997632,3.2170475500001885,3.2062368199999582,3.2170280899999852,3.206496159999915,3.21676983999987,3.206496159999915,3.21676983999987,True,0.0003335599999445549,0.00034637000044313027,0.00034637000044313027,True,True,True
12,12,0.01,1.3356700499998624,1.3466133100000661,1.3356772699999055,1.346303860000262,1.3357124499998463,1.3466076100003193,1.3358224799999334,1.3463526500004264,1.3358224799999334,1.346303860000262,True,0.00015243000007103547,0.00030944999980420107,0.00030944999980420107,True,True,True
12,12,0.05,7.779267049999817,7.789660710000135,7.779343220000101,7.7919554099999,7.779160409999804,7.789674520000062,7.778531819999898,7.792370399999982,7.779343220000101,7.789660710000135,True,0.0008114000002024113,0.002709689999846887,0.002709689999846887,True,True,True
13,8,0.01,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,0.0,0.0,0.0,True,True,True
13,8,0.05,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.0,True,0.0,0.0,0.0,True,True,True
13,12,0.01,-0.00962694999998348,0.0007176500002969988,-0.01005325999994966,0.0006112400005804375,-0.009477139999944484,0.0013775400002487004,-0.01005325999994966,0.0006112400005804375,-0.009477139999944484,0.0006112400005804375,True,0.0005761200000051758,0.0007662999996682629,0.0007662999996682629,True,True,True
13,12,0.05,-0.00926893999985623,0.0016557199996896088,-0.008811350000542006,0.0014444500002355198,-0.009082100000341597,0.0017906299999594921,-0.008827169999676698,0.0017941200003406266,-0.008811350000542006,0.0014444500002355198,True,0.00045758999931422295,0.00034967000010510674,0.00045758999931422295,True,True,True
14,8,0.01,-0.009996499999942898,0.0005489500003932335,-0.009906279999995604,0.0003433700003370177,-0.009906279999995604,0.0003433700003370177,-0.009906279999995604,0.0003433700003370177,-0.009906279999995604,0.0003433700003370177,True,9.021999994729413e-05,0.0002055800000562158,0.0002055800000562158,True,True,True
14,8,0.05,-0.006775170000310027,0.003452049999850715,-0.006868300000405725,0.0037840099998902588,-0.007007080000221322,0.003813610000179324,-0.006868300000405725,0.0037840099998902588,-0.006775170000310027,0.003452049999850715,True,0.00023190999991129502,0.000361560000328609,0.000361560000328609,True,True,True
14,12,0.01,-0.007735610000509041,0.0024180899999919347,-0.007717740000316553,0.0029085899996061926,-0.007923070000288135,0.0026276799999322975,-0.007710370000495459,0.0029249599997456244,-0.007710370000495459,0.0024180899999919347,True,0.00021269999979267595,0.0005068699997536896,0.0005068699997536896,True,True,True
14,12,0.05,1.3057766799997808,1.316287409999859,1.305826419999903,1.3169178299999658,1.305686489999971,1.3163051100000303,1.305747049999809,1.3163941500001783,1.305826419999903,1.316287409999859,True,0.00013992999993206467,0.0006304200001068239,0.0006304200001068239,True,True,True
15,8,0.01,-0.008788610000010522,0.0014997799999036943,-0.008751430000302207,0.0018284399998265144,-0.008751430000302207,0.0018284399998265144,-0.008751430000302207,0.0018284399998265144,-0.008751430000302207,0.0014997799999036943,True,3.7179999708314426e-05,0.00032865999992282013,0.00032865999992282013,True,True,True
15,8,0.05,-0.009941090000211261,0.0007341400000768772,-0.010036000000127387,0.0002594799998405506,-0.009990900000502734,0.0002221700001427962,-0.0099593900004038,0.0002064099999188329,-0.009941090000211261,0.0002064099999188329,True,9.490999991612625e-05,0.0005277300001580443,0.0005277300001580443,True,True,True
15,12,0.01,2.661209549999512,2.6715625900001214,2.6613315099998545,2.67177361999984,2.6610658599997805,2.6719784900001287,2.6613315099998545,2.67177361999984,2.6613315099998545,2.6715625900001214,True,0.000265650000073947,0.00041590000000724103,0.00041590000000724103,True,True,True
15,12,0.05,5.365699829999812,5.376095669999813,5.3655985299997155,5.376297220000197,5.365615759999855,5.3759972600000765,5.365775239999948,5.376455449999867,5.365775239999948,5.3759972600000765,True,0.00017671000023256056,0.0004581899997901928,0.0004581899997901928,True,True,True
