scope,instances,n_positive,n_crossing,n_boundary,share_positive,share_crossing,share_boundary,mean_uplift_lo,median_uplift_lo,mean_uplift_hi,median_uplift_hi,median_width,max_uplift_hi,median_uplift_lo_per_trip,median_uplift_hi_per_trip
overall,64,38,21,5,0.59375,0.328125,0.078125,1.5499019676560337,0.15225028499980908,1.5604130031249994,0.16265664999991714,0.010451510000166309,12.954786870000135,0.01524823291665219,0.01610984083333733
n8_b0.01,16,5,8,3,0.3125,0.5,0.1875,0.19962963687478918,-0.009706495000273208,0.21010461624999266,0.0009852549999322946,0.010478390000116633,1.7686072500000591,-0.001213311875034151,0.00012315687499153682
n8_b0.05,16,10,5,1,0.625,0.3125,0.0625,1.1628042243747814,0.30623746499986737,1.1733736268749908,0.31678068999985953,0.010591860000204179,4.803739699999824,0.03827968312498342,0.03959758624998244
n12_b0.01,16,10,5,1,0.625,0.3125,0.0625,0.6445643293747594,0.05501103999972656,0.6550492775000123,0.06561384499968881,0.010400950000303055,2.845098020000023,0.004584253333310547,0.005467820416640734
n12_b0.05,16,13,3,0,0.8125,0.1875,0.0,4.192609679999805,3.5794984849997036,4.203124491875002,3.5900565950000782,0.010416740000209757,12.954786870000135,0.29829154041664196,0.2991713829166732
