family,seed,n_trips,b,low_lo,low_hi,high_lo,high_hi,diff_lo,diff_hi,classification
feedback_b,0,8,0.05-0.01,-0.01000032000047213,0.0009860299996944377,-0.009500870000465511,0.0010152499999094289,-0.010486900000159949,0.011015570000381558,crosses-or-touches-zero
feedback_b,0,12,0.05-0.01,-0.009189310000238038,0.002152340000066033,-0.009205370000017865,0.0010412900001028902,-0.011357710000083898,0.010230600000340928,crosses-or-touches-zero
feedback_b,1,8,0.05-0.01,-0.010000000000218279,0.0,-0.009067740000318736,0.0011798199998338532,-0.009067740000318736,0.011179820000052132,crosses-or-touches-zero
feedback_b,1,12,0.05-0.01,-0.006816060000346624,0.0037634099999195314,0.023615059999428922,0.03439471000001504,0.01985164999950939,0.04121077000036166,strictly-positive
feedback_b,2,8,0.05-0.01,0.2824087599997256,0.2933804499998587,0.3787046900001769,0.38963746000035826,0.08532424000031824,0.10722870000063267,strictly-positive
feedback_b,2,12,0.05-0.01,-0.008007910000287666,0.0024445799999739393,2.1667328999997153,2.1771033400000306,2.1642883199997414,2.1851112500003183,strictly-positive
feedback_b,3,8,0.05-0.01,-0.009813960000428779,0.0006079899999349436,0.3023549199997433,0.3131601399995816,0.30174692999980834,0.32297410000001037,strictly-positive
feedback_b,3,12,0.05-0.01,0.020709739999801968,0.031198969999422843,-0.00985069000034855,0.000586950000069919,-0.04104965999977139,-0.02012278999973205,strictly-negative
feedback_b,4,8,0.05-0.01,-0.009423909999895841,0.0010893900002884038,0.31012000999999145,0.3204012400001375,0.30903061999970305,0.3298251500000333,strictly-positive
feedback_b,4,12,0.05-0.01,0.10252317000004041,0.11263839999992342,5.267904229999658,5.278216100000009,5.155265829999735,5.175692929999968,strictly-positive
feedback_b,5,8,0.05-0.01,-0.009819160000461125,0.0006870899997011293,2.13551144999974,2.146107619999839,2.1348243600000387,2.1559267800003,strictly-positive
feedback_b,5,12,0.05-0.01,2.8341675199994825,2.845098020000023,12.943789200000083,12.954786870000135,10.09869118000006,10.120619350000652,strictly-positive
feedback_b,6,8,0.05-0.01,-0.010017630000220379,0.00012610000021595624,0.8188274199997068,0.8292331900001955,0.8187013199994908,0.8392508200004158,strictly-positive
feedback_b,6,12,0.05-0.01,0.17774311999983183,0.18810531999997693,7.315515799999957,7.325988430000052,7.1274104799999805,7.14824531000022,strictly-positive
feedback_b,7,8,0.05-0.01,0.12675744999978633,0.13720797999985734,3.012760309999976,3.0235366000001704,2.8755523300001187,2.896779150000384,strictly-positive
feedback_b,7,12,0.05-0.01,0.08931233999965116,0.10002871999995477,0.18821446999982072,0.198530860000119,0.08818574999986595,0.10921852000046783,strictly-positive
feedback_b,8,8,0.05-0.01,1.757662679999612,1.7686072500000591,4.792979569999716,4.803739699999824,3.0243723199996566,3.0460770200002116,strictly-positive
feedback_b,8,12,0.05-0.01,0.30716069999971296,0.317375869999978,9.056255529999817,9.066649200000029,8.738879659999839,8.759488500000316,strictly-positive
feedback_b,9,8,0.05-0.01,-0.009599030000117637,0.0009844800001701515,0.2841758399995342,0.29476338999984364,0.28319135999936407,0.3043624199999613,strictly-positive
feedback_b,9,12,0.05-0.01,2.82305733999965,2.833497040000111,10.508476589999646,10.519043979999879,7.674979549999534,7.695986640000228,strictly-positive
feedback_b,10,8,0.05-0.01,0.5657713199998398,0.576155899999776,3.4185709999997016,3.4295129799997994,2.8424150999999256,2.8637416599999597,strictly-positive
feedback_b,10,12,0.05-0.01,0.012851580000187823,0.023174130000370496,4.992264069999692,5.003009850000126,4.969089939999321,4.990158269999938,strictly-positive
feedback_b,11,8,0.05-0.01,-0.010000000000218279,0.0,-0.010015350000230683,0.0003882400001202768,-0.010015350000230683,0.010388240000338556,crosses-or-touches-zero
feedback_b,11,12,0.05-0.01,-0.010000000000218279,0.0,0.19656846999987465,0.20694077999996807,0.19656846999987465,0.21694078000018635,strictly-positive
feedback_b,12,8,0.05-0.01,0.5689330999998674,0.5797924700000294,3.2061625999999706,3.217116210000313,2.626370129999941,2.6481831100004456,strictly-positive
feedback_b,12,12,0.05-0.01,1.3356700499998624,1.3466133100000661,7.779267049999817,7.789660710000135,6.4326537399997505,6.453990660000272,strictly-positive
