seed,n_trips,b,z_d_ub,tol_d,lb_best,ub_ch,uplift_lo_raw,uplift_hi_raw,uplift_lo_tightened,width,classification,uplift_lo_per_trip,uplift_hi_per_trip,intersection_lo,intersection_hi,lo_spread,hi_spread
0,8,0.01,3130.61637962,0.01,3130.61539359,3130.61637994,-0.01000032000047213,0.0009860299996944377,0.0,0.010986350000166567,strict-zero-crossing,-0.0012500400000590162,0.00012325374996180471,-0.01000032000047213,0.0004322599997976795,6.317999987004441e-05,0.0005537699998967582
0,8,0.05,3176.59976548,0.01,3176.59875023,3176.59926635,-0.009500870000465511,0.0010152499999094289,0.0,0.01051612000037494,strict-zero-crossing,-0.0011876087500581889,0.0001269062499886786,-0.009500870000465511,0.0006406099996638659,0.0002446399998916604,0.000374640000245563
0,12,0.01,3293.46954908,0.01,3293.46739674,3293.46873839,-0.009189310000238038,0.002152340000066033,0.0,0.011341650000304071,strict-zero-crossing,-0.0007657758333531698,0.00017936166667216943,-0.008679640000082145,0.0017494700000497687,0.0005096700001558929,0.00111758999992162
0,12,0.05,3532.42264656,0.01,3532.42160527,3532.42185193,-0.009205370000017865,0.0010412900001028902,0.0,0.010246660000120755,strict-zero-crossing,-0.0007671141666681555,8.677416667524085e-05,-0.009167690000140283,0.0010412900001028902,9.915000009641517e-05,0.0005260200000520854
1,8,0.01,3090.63675529,0.01,3090.63675529,3090.63675529,-0.010000000000218279,0.0,0.0,0.010000000000218279,exact-zero-boundary,-0.0012500000000272848,0.0,-0.010000000000218279,0.0,0.0,0.0
1,8,0.05,3101.35605701,0.01,3101.35487719,3101.35512475,-0.009067740000318736,0.0011798199998338532,0.0,0.010247560000152589,strict-zero-crossing,-0.001133467500039842,0.00014747749997923165,-0.009067740000318736,0.0011798199998338532,0.0,0.0
1,12,0.01,3291.81518062,0.01,3291.81141721,3291.81199668,-0.006816060000346624,0.0037634099999195314,0.0,0.010579470000266156,strict-zero-crossing,-0.0005680050000288853,0.0003136174999932943,-0.006524210000407038,0.0037585299996862886,0.00029184999993958627,0.0002700600002754072
1,12,0.05,3503.675621,0.01,3503.64122629,3503.64200594,0.023615059999428922,0.03439471000001504,0.023615059999428922,0.010779650000586116,strictly-positive,0.001967921666619077,0.0028662258333345867,0.023808579999695212,0.03420139999980165,0.0002927700002146594,0.00032687000020814594
2,8,0.01,3146.79798562,0.01,3146.50460517,3146.50557686,0.2824087599997256,0.2933804499998587,0.2824087599997256,0.010971690000133094,strictly-positive,0.0353010949999657,0.036672556249982335,0.2824087599997256,0.2926590199999737,0.00018159999990530196,0.0007214299998850038
2,8,0.05,3183.30429291,0.01,3182.91465545,3182.91558822,0.3787046900001769,0.38963746000035826,0.3787046900001769,0.010932770000181335,strictly-positive,0.047338086250022116,0.04870468250004478,0.37870648999978584,0.38963746000035826,1.7999996089201886e-06,2.3899997358967084e-06
2,12,0.01,2355.25017498,0.01,2355.2477304,2355.24818289,-0.008007910000287666,0.0024445799999739393,0.0,0.010452490000261605,strict-zero-crossing,-0.0006673258333573054,0.00020371499999782827,-0.00787700000046243,0.002363000000059401,0.000130909999825235,0.0005790699997305637
2,12,0.05,2684.52521567,0.01,2682.34811233,2682.34848277,2.1667328999997153,2.1771033400000306,2.1667328999997153,0.010370440000315284,strictly-positive,0.18056107499997628,0.18142527833333588,2.1668593799995506,2.1771033400000306,0.00045262999992701225,0.00027561999968384043
3,8,0.01,3128.01368432,0.01,3128.01307633,3128.01349828,-0.009813960000428779,0.0006079899999349436,0.0,0.010421950000363722,strict-zero-crossing,-0.0012267450000535973,7.599874999186795e-05,-0.009811950000312208,0.0006018199997015472,2.010000116570154e-06,6.170000233396422e-06
