seed,n_trips,b,z_d_ub,tol_d,lb_best,ub_ch,uplift_lo_raw,uplift_hi_raw,uplift_lo_tightened,width,classification,uplift_lo_per_trip,uplift_hi_per_trip,intersection_lo,intersection_hi,lo_spread,hi_spread
3,8,0.05,3186.06336188,0.01,3185.75020174,3185.75100696,0.3023549199997433,0.3131601399995816,0.3023549199997433,0.0108052199998383,strictly-positive,0.03779436499996791,0.0391450174999477,0.30289274999950067,0.31295846999955756,0.0005378299997573777,0.000483520000216231
3,12,0.01,4211.90224084,0.01,4211.87104187,4211.8715311,0.020709739999801968,0.031198969999422843,0.020709739999801968,0.010489229999620875,strictly-positive,0.001725811666650164,0.00259991416661857,0.020749489999616344,0.031198969999422843,3.974999981437577e-05,2.7890000637853518e-05
3,12,0.05,4338.71417842,0.01,4338.71359147,4338.71402911,-0.00985069000034855,0.000586950000069919,0.0,0.010437640000418469,strict-zero-crossing,-0.0008208908333623791,4.891250000582659e-05,-0.009814519999963522,0.000586950000069919,0.00031400999978359323,0.00024477999977534637
4,8,0.01,2176.93404971,0.01,2176.93296032,2176.93347362,-0.009423909999895841,0.0010893900002884038,0.0,0.010513300000184245,strict-zero-crossing,-0.0011779887499869801,0.00013617375003605048,-0.009423909999895841,0.0010893900002884038,0.0,0.0
4,8,0.05,2309.59362834,0.01,2309.2732271,2309.27350833,0.31012000999999145,0.3204012400001375,0.31012000999999145,0.010281230000146024,strictly-positive,0.03876500124999893,0.040050155000017185,0.3101817699998719,0.3204012400001375,6.175999988045078e-05,9.683999996923376e-05
4,12,0.01,3261.68680416,0.01,3261.57416576,3261.57428099,0.10252317000004041,0.11263839999992342,0.10252317000004041,0.010115229999883013,strictly-positive,0.008543597500003367,0.009386533333326952,0.10252317000004041,0.11263839999992342,0.0003939500002161367,0.0008239000003413821
4,12,0.05,3438.98793369,0.01,3433.70971759,3433.71002946,5.267904229999658,5.278216100000009,5.267904229999658,0.01031187000035061,strictly-positive,0.43899201916663816,0.4398513416666674,5.2679991899995,5.278216100000009,0.00030631999970864854,0.0008812399996713793
5,8,0.01,2214.96981707,0.01,2214.96912998,2214.96963623,-0.009819160000461125,0.0006870899997011293,0.0,0.010506250000162254,strict-zero-crossing,-0.0012273950000576406,8.588624996264116e-05,-0.009819160000461125,0.0004880299998148985,4.4379999962984584e-05,0.0001990599998862308
5,8,0.05,2362.08066359,0.01,2359.93455597,2359.93515214,2.13551144999974,2.146107619999839,2.13551144999974,0.010596170000098937,strictly-positive,0.2669389312499675,0.26826345249997985,2.1356902299994545,2.1460027499997523,0.00017877999971460667,0.00010487000008652103
5,12,0.01,3307.50060438,0.01,3304.65550636,3304.65643686,2.8341675199994825,2.845098020000023,2.8341675199994825,0.010930500000540633,strictly-positive,0.23618062666662354,0.2370915016666686,2.834286109999539,2.8445769300001302,0.00038468000002467306,0.0005210899998928653
5,12,0.05,3514.51130714,0.01,3501.55652027,3501.55751794,12.943789200000083,12.954786870000135,12.943789200000083,0.010997670000051585,strictly-positive,1.078649100000007,1.0795655725000113,12.944032099999731,12.95454509000001,0.00024289999964821618,0.0003007700001944613
6,8,0.01,2153.79433052,0.01,2153.79420442,2153.79434815,-0.010017630000220379,0.00012610000021595624,0.0,0.010143730000436335,strict-zero-crossing,-0.0012522037500275474,1.576250002699453e-05,-0.010013049999997747,0.00012610000021595624,7.411000024148962e-05,0.0008463999997729843
6,8,0.05,2257.76110052,0.01,2256.93186733,2256.9322731,0.8188274199997068,0.8292331900001955,0.8188274199997068,0.010405770000488701,strictly-positive,0.10235342749996335,0.10365414875002443,0.8189213299997391,0.8289791500001229,0.000304629999845929,0.0003766999998333631
6,12,0.01,2365.37629636,0.01,2365.18819104,2365.18855324,0.17774311999983183,0.18810531999997693,0.17774311999983183,0.010362200000145094,strictly-positive,0.014811926666652653,0.015675443333331412,0.177939619999961,0.18810531999997693,0.0003562100000635837,0.00038903000040590996
6,12,0.05,2687.42374805,0.01,2680.09775962,2680.09823225,7.315515799999957,7.325988430000052,7.315515799999957,0.010472630000094796,strictly-positive,0.6096263166666631,0.6104990358333376,7.315534399999706,7.325934110000162,6.798999993407051e-05,0.0005161899998711306
7,8,0.01,2156.13680197,0.01,2155.99959399,2156.00004452,0.12675744999978633,0.13720797999985734,0.12675744999978633,0.010450530000071012,strictly-positive,0.01584468124997329,0.017150997499982168,0.12675744999978633,0.13695501999973203,7.912000000942498e-05,0.00025296000012531294
7,8,0.05,2258.02258048,0.01,2254.99904388,2254.99982017,3.012760309999976,3.0235366000001704,3.012760309999976,0.010776290000194422,strictly-positive,0.376595038749997,0.3779420750000213,3.0131871799999317,3.0235366000001704,0.0004268699999556702,0.00019275000022389577
7,12,0.01,3206.40138969,0.01,3206.30136097,3206.30207735,0.08931233999965116,0.10002871999995477,0.08931233999965116,0.010716380000303616,strictly-positive,0.0074426949999709295,0.008335726666662898,0.08943743999998333,0.09981541000024663,0.0003534600000421051,0.00021330999970814446
7,12,0.05,3353.68837269,0.01,3353.48984183,3353.49015822,0.18821446999982072,0.198530860000119,0.18821446999982072,0.01031639000029827,strictly-positive,0.015684539166651728,0.016544238333343248,0.18821446999982072,0.19848383999988073,0.0003955799998038856,0.00012715000002572197
8,8,0.01,2150.6129456,0.01,2148.84433835,2148.84528292,1.757662679999612,1.7686072500000591,1.757662679999612,0.010944570000447129,strictly-positive,0.2197078349999515,0.2210759062500074,1.758010629999717,1.7686072500000591,0.00034795000010490185,0.00015777999988131342
8,8,0.05,2242.88307089,0.01,2238.07933119,2238.08009132,4.792979569999716,4.803739699999824,4.792979569999716,0.010760130000107893,strictly-positive,0.5991224462499645,0.600467462499978,4.792979569999716,4.803207060000204,0.0001313499997195322,0.0005326399996192777
8,12,0.01,3280.71424681,0.01,3280.39687094,3280.39708611,0.30716069999971296,0.317375869999978,0.30716069999971296,0.010215170000265061,strictly-positive,0.02559672499997608,0.026447989166664836,0.30718682999986413,0.31727402000024085,0.0002917699998761236,0.00039023999988785363
8,12,0.05,3486.53546495,0.01,3477.46881575,3477.46920942,9.056255529999817,9.066649200000029,9.056255529999817,0.010393670000212296,strictly-positive,0.754687960833318,0.7555541000000024,9.056299379999928,9.066649200000029,0.00017779000017981161,0.0075938899999528076
9,8,0.01,2173.58792922,0.01,2173.58694474,2173.58752825,-0.009599030000117637,0.0009844800001701515,0.0,0.010583510000287788,strict-zero-crossing,-0.0011998787500147046,0.00012306000002126893,-0.009599030000117637,0.0009844800001701515,0.0,0.0
9,8,0.05,2295.56360337,0.01,2295.26883998,2295.26942753,0.2841758399995342,0.29476338999984364,0.2841758399995342,0.01058755000030942,strictly-positive,0.03552197999994178,0.036845423749980455,0.2841758399995342,0.29449353999962113,0.00018907999992734403,0.0002698500002225046
9,12,0.01,2399.12303513,0.01,2396.28953809,2396.28997779,2.82305733999965,2.833497040000111,2.82305733999965,0.010439700000461016,strictly-positive,0.2352547783333042,0.2361247533333426,2.8231141799997204,2.8334152500001437,5.684000007022405e-05,9.894000004351255e-05
9,12,0.05,2754.85862457,0.01,2744.33958059,2744.34014798,10.508476589999646,10.519043979999879,10.508476589999646,0.01056739000023299,strictly-positive,0.8757063824999705,0.8765869983333232,10.508551749999697,10.519043979999879,7.516000005125534e-05,0.00037947000009808107
10,8,0.01,2155.15348077,0.01,2154.57732487,2154.57770945,0.5657713199998398,0.576155899999776,0.5657713199998398,0.01038457999993625,strictly-positive,0.07072141499997997,0.072019487499972,0.5657862799998838,0.575995199999852,9.11100000848819e-05,0.0005425500003184425
10,8,0.05,2264.993012,0.01,2261.56349902,2261.564441,3.4185709999997016,3.4295129799997994,3.4185709999997016,0.010941980000097828,strictly-positive,0.4273213749999627,0.42868912249997493,3.418751539999903,3.4290493899998182,0.00018054000020129024,0.00046358999998119543
10,12,0.01,3236.97346438,0.01,3236.95029025,3236.9506128,0.012851580000187823,0.023174130000370496,0.012851580000187823,0.010322550000182673,strictly-positive,0.0010709650000156519,0.0019311775000308746,0.012860020000061922,0.023174130000370496,0.0003351099999235885,0.00034126999980799155
10,12,0.05,3413.90421243,0.01,3408.90120258,3408.90194836,4.992264069999692,5.003009850000126,4.992264069999692,0.010745780000434024,strictly-positive,0.4160220058333077,0.4169174875000105,4.992378709999684,5.002650739999808,0.0001901300001918571,0.00035911000031774165
11,8,0.01,3132.32954328,0.01,3132.32954328,3132.32954328,-0.010000000000218279,0.0,0.0,0.010000000000218279,exact-zero-boundary,-0.0012500000000272848,0.0,-0.010000000000218279,0.0,0.0,0.0
11,8,0.05,3165.85465315,0.01,3165.85426491,3165.8546685,-0.010015350000230683,0.0003882400001202768,0.0,0.01040359000035096,strict-zero-crossing,-0.0012519187500288353,4.85300000150346e-05,-0.010015350000230683,0.0003882400001202768,0.00023376999979518587,5.1729999995586695e-05
11,12,0.01,4166.14076573,0.01,4166.14076573,4166.14076573,-0.010000000000218279,0.0,0.0,0.010000000000218279,exact-zero-boundary,-0.0008333333333515233,0.0,-0.010000000000218279,0.0,0.0,2.820999998220941e-05
11,12,0.05,4224.41171069,0.01,4224.20476991,4224.20514222,0.19656846999987465,0.20694077999996807,0.19656846999987465,0.010372310000093421,strictly-positive,0.01638070583332289,0.01724506499999734,0.19656846999987465,0.20678657999997085,0.00023808999958419008,0.00029414000073302304
12,8,0.01,2171.35431364,0.01,2170.77452117,2170.77538054,0.5689330999998674,0.5797924700000294,0.5689330999998674,0.010859370000162016,strictly-positive,0.07111663749998343,0.07247405875000368,0.5691496699996605,0.5794782200000554,0.00044879999995828257,0.0004744199995911913
12,8,0.05,2274.66875522,0.01,2271.45163901,2271.45259262,3.2061625999999706,3.217116210000313,3.2061625999999706,0.01095361000034245,strictly-positive,0.4007703249999963,0.4021395262500391,3.206496159999915,3.21676983999987,0.0003335599999445549,0.00034637000044313027
12,12,0.01,3201.34767674,0.01,3200.00106343,3200.00200669,1.3356700499998624,1.3466133100000661,1.3356700499998624,0.010943260000203736,strictly-positive,0.11130583749998853,0.11221777583333885,1.3358224799999334,1.346303860000262,0.00015243000007103547,0.00030944999980420107
12,12,0.05,3339.24846109,0.01,3331.45880038,3331.45919404,7.779267049999817,7.789660710000135,7.779267049999817,0.01039366000031805,strictly-positive,0.6482722541666514,0.6491383925000113,7.779343220000101,7.789660710000135,0.0008114000002024113,0.002709689999846887
13,8,0.01,4086.0,0.01,4086.0,4086.0,-0.010000000000218279,0.0,0.0,0.010000000000218279,exact-zero-boundary,-0.0012500000000272848,0.0,-0.010000000000218279,0.0,0.0,0.0
13,8,0.05,4086.0,0.01,4086.0,4086.0,-0.010000000000218279,0.0,0.0,0.010000000000218279,exact-zero-boundary,-0.0012500000000272848,0.0,-0.010000000000218279,0.0,0.0,0.0
13,12,0.01,4205.8207453,0.01,4205.82002765,4205.82037225,-0.00962694999998348,0.0007176500002969988,0.0,0.01034460000028048,strict-zero-crossing,-0.0008022458333319568,5.980416669141656e-05,-0.009477139999944484,0.0006112400005804375,0.0005761200000051758,0.0007662999996682629
13,12,0.05,4288.61648727,0.01,4288.61483155,4288.61575621,-0.00926893999985623,0.0016557199996896088,0.0,0.010924659999545838,strict-zero-crossing,-0.0007724116666546857,0.00013797666664080074,-0.008811350000542006,0.0014444500002355198,0.00045758999931422295,0.00034967000010510674
14,8,0.01,2156.76582291,0.01,2156.76527396,2156.76581941,-0.009996499999942898,0.0005489500003932335,0.0,0.010545450000336132,strict-zero-crossing,-0.0012495624999928623,6.861875004915419e-05,-0.009906279999995604,0.0003433700003370177,9.021999994729413e-05,0.0002055800000562158
14,8,0.05,2268.94205917,0.01,2268.93860712,2268.93883434,-0.006775170000310027,0.003452049999850715,0.0,0.010227220000160742,strict-zero-crossing,-0.0008468962500387534,0.00043150624998133935,-0.006775170000310027,0.003452049999850715,0.00023190999991129502,0.000361560000328609
14,12,0.01,3266.41340599,0.01,3266.4109879,3266.4111416,-0.007735610000509041,0.0024180899999919347,0.0,0.010153700000500976,strict-zero-crossing,-0.0006446341667090868,0.0002015074999993279,-0.007710370000495459,0.0024180899999919347,0.00021269999979267595,0.0005068699997536896
14,12,0.05,3465.60311619,0.01,3464.28682878,3464.28733951,1.3057766799997808,1.316287409999859,1.3057766799997808,0.010510730000078183,strictly-positive,0.10881472333331506,0.10969061749998825,1.305826419999903,1.316287409999859,0.00013992999993206467,0.0006304200001068239
15,8,0.01,3135.03974913,0.01,3135.03824935,3135.03853774,-0.008788610000010522,0.0014997799999036943,0.0,0.010288389999914216,strict-zero-crossing,-0.0010985762500013152,0.00018747249998796178,-0.008751430000302207,0.0014997799999036943,3.7179999708314426e-05,0.00032865999992282013
15,8,0.05,3168.29798803,0.01,3168.29725389,3168.29792912,-0.009941090000211261,0.0007341400000768772,0.0,0.010675230000288138,strict-zero-crossing,-0.0012426362500264077,9.176750000960965e-05,-0.009941090000211261,0.0002064099999188329,9.490999991612625e-05,0.0005277300001580443
15,12,0.01,3282.43152539,0.01,3279.7599628,3279.76031584,2.661209549999512,2.6715625900001214,2.661209549999512,0.010353040000609326,strictly-positive,0.22176746249995935,0.22263021583334344,2.6613315099998545,2.6715625900001214,0.000265650000073947,0.00041590000000724103
15,12,0.05,3465.03778603,0.01,3459.66169036,3459.6620862,5.365699829999812,5.376095669999813,5.365699829999812,0.010395840000001044,strictly-positive,0.44714165249998433,0.4480079724999844,5.365775239999948,5.3759972600000765,0.00017671000023256056,0.0004581899997901928
