experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,energy_cost_model,oracle_tier,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_iter,x_alpha,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length
phase2,taker-sweep,2026-08-14T22:32:42.391549+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e8d46d5db497,32fb46bd4b92,3,150.0,113.3,3150.0,3121.2179240904816,-28.782075909518426,exact-milp/taker,GRB,OPTIMAL,3121.2179240904816,3121.2179240904816,0.0,3022.969341008707,98.24858308177454,3.5279839038848877,0.05335569381713867,2350,888,2787,,,,,,sweep,,,12,-1.5,0,,
phase2,taker-sweep,2026-08-14T22:32:46.836422+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e9cec48b8056,32fb46bd4b92,3,150.0,113.3,3150.0,3125.3029240904816,-24.69707590951839,exact-milp/taker,GRB,OPTIMAL,3125.3029240904816,3125.302924090481,1.4550504764871828e-16,3031.969341008708,93.33358308177367,4.303185701370239,0.053694963455200195,2350,888,2787,,,,,,sweep,,,12,-1.45,1,,
phase2,taker-sweep,2026-08-14T22:32:49.257015+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e9cec48b8056,32fb46bd4b92,3,150.0,113.3,3150.0,3129.3879240904816,-20.612075909518353,exact-milp/taker,GRB,OPTIMAL,3129.3879240904816,3129.387924090481,1.4531511014845848e-16,3040.969341008708,88.4185830817737,2.2929303646087646,0.05130815505981445,2350,888,2787,,,,,,sweep,,,12,-1.4,2,,
phase2,taker-sweep,2026-08-14T22:32:52.597440+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e8d46d5db497,32fb46bd4b92,3,150.0,113.3,3150.0,3133.4729240904812,-16.52707590951877,exact-milp/taker,GRB,OPTIMAL,3133.4729240904812,3133.4729240904812,0.0,3049.969341008708,83.50358308177329,3.2107884883880615,0.05309581756591797,2350,888,2787,,,,,,sweep,,,12,-1.3499999999999999,3,,
phase2,taker-sweep,2026-08-14T22:32:55.426811+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,7211947f90b3,32fb46bd4b92,3,150.0,113.3,3150.0,3137.5579240904813,-12.442075909518735,exact-milp/taker,GRB,OPTIMAL,3137.5579240904813,3137.5579240904813,0.0,3058.9693410087075,78.58858308177378,2.6840250492095947,0.05142068862915039,2350,888,2787,,,,,,sweep,,,12,-1.2999999999999998,4,,
phase2,taker-sweep,2026-08-14T22:32:58.416304+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e8d46d5db497,32fb46bd4b92,3,150.0,113.3,3150.0,3141.6429240904813,-8.357075909518699,exact-milp/taker,GRB,OPTIMAL,3141.6429240904813,3141.6429240904813,0.0,3067.9693410087098,73.67358308177154,2.8582606315612793,0.05271339416503906,2350,888,2787,,,,,,sweep,,,12,-1.2499999999999998,5,,
phase2,taker-sweep,2026-08-14T22:33:01.580025+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,7211947f90b3,32fb46bd4b92,3,150.0,113.3,3150.0,3145.7279240904813,-4.272075909518662,exact-milp/taker,GRB,OPTIMAL,3145.7279240904813,3145.727924090481,1.4456029315311636e-16,3076.9693410087084,68.75858308177294,3.0238168239593506,0.06326913833618164,2350,888,2787,,,,,,sweep,,,12,-1.1999999999999997,6,,
phase2,taker-sweep,2026-08-14T22:33:04.911288+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e8d46d5db497,32fb46bd4b92,3,150.0,113.3,3150.0,3149.8129240904814,-0.18707590951862585,exact-milp/taker,GRB,OPTIMAL,3149.8129240904814,3149.812924090481,1.4437281255926458e-16,3085.9693410087075,63.843583081773886,3.1419148445129395,0.05213522911071777,2350,888,2787,,,,,,sweep,,,12,-1.1499999999999997,7,,
phase2,taker-sweep,2026-08-14T22:33:07.506503+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,e9cec48b8056,32fb46bd4b92,3,150.0,113.3,3150.0,3153.8979240904814,3.8979240904814105,exact-milp/taker,GRB,OPTIMAL,3153.8979240904814,3153.897924090481,1.4418581762363277e-16,3094.969341008708,58.92858308177347,2.46799635887146,0.051413774490356445,2350,888,2787,,,,,,sweep,,,12,-1.0999999999999996,8,,
phase2,taker-sweep,2026-08-14T22:33:10.629863+00:00,jingjie-cpu-04.mae.cornell.edu,4cf37e9,50930,5,syn-s0-n12,00b39b5d48ce,12,6,7211947f90b3,32fb46bd4b92,3,150.0,113.3,3150.0,3157.9829240904814,7.982924090481447,exact-milp/taker,GRB,OPTIMAL,3157.9829240904814,3157.9829240904814,0.0,3102.000000000001,55.98292409048054,2.9874866008758545,0.0496523380279541,2350,888,2787,,,,,,sweep,,,12,-1.0499999999999996,9,,
