lb_best,ub_ch,zd_minus_lb,method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,serious_steps,null_steps,wall_clean_s,wall_stab_s,total_solver_wall_s,dictator_wall_s,broadcast_tv,broadcast_linf_max,broadcast_points,uplift_lo,uplift_hi,z_d_ub,tol_d,epsilon,budget,backend,mip_version,source_commit
3176.59912487,3176.59951099,0.0106406126047,a3,0,8,0.05,certified,True,0.000386116027585,32,17,15,18,3,12,10.6251058578,11.0140657425,21.6391716003,6.89982104301,2.776014138,0.515,16,-0.00974550342335,0.000640612604457,3176.59976548,0.01,0.01,240,GRB,1.17.6,167297a
3165.85421318,3165.85490227,0.0104399746251,a3,11,8,0.05,certified,True,0.000689094190875,26,14,12,14,2,10,6.88400745392,5.76355910301,12.6475665569,4.64829230309,3.01287175002,0.75,13,-0.0102491195662,0.000439974624896,3165.85465315,0.01,0.01,240,GRB,1.17.6,167297a
3168.29772855,3168.29802403,0.0102594716327,a3,15,8,0.05,certified,True,0.000295473661481,48,25,23,32,9,14,14.1999528408,16.9267790318,31.1267318726,7.57103943825,3.23367598554,0.735,24,-0.0100360020292,0.000259471632489,3168.29798803,0.01,0.01,240,GRB,1.17.6,167297a
3532.42143323,3532.42182552,0.011213328085,a3,0,12,0.05,certified,True,0.000392283806832,24,13,11,18,5,6,171.362586975,302.29934907,473.661936045,213.206908941,9.40882474477,1.61866655939,12,-0.00917895572229,0.00121332808476,3532.42264656,0.01,0.01,240,GRB,1.17.6,167297a
4224.20479052,4224.20531874,0.216920163217,a3,11,12,0.05,certified,True,0.000528214178303,28,15,13,21,13,0,340.923850536,488.263511658,829.187362194,443.879040241,5.91834330468,1.37,14,0.196391949038,0.206920163217,4224.41171069,0.01,0.01,240,GRB,1.17.6,167297a
3459.66148881,3459.6621875,5.38629721942,a3,15,12,0.05,certified,True,0.000698691597336,34,18,16,32,12,4,90.325647831,152.966425896,243.292073727,155.299761772,11.0473621614,1.21691185353,17,5.36559852782,5.37629721942,3465.03778603,0.01,0.01,240,GRB,1.17.6,167297a
3130.61594736,3130.61644312,0.0104322570555,a4,0,8,0.01,certified,True,0.000495758056786,20,11,9,15,2,7,5.18277215958,4.21188545227,9.39465761185,4.46286463737,57.447168465,3.88329430482,10,-0.0100635010017,0.000432257055309,3130.61637962,0.01,0.01,240,GRB,1.17.6,167297a
3132.32954328,3132.32954328,0.0100000000002,a4,11,8,0.01,certified,True,0,12,7,5,9,2,3,2.55887818336,2.06120443344,4.62008261681,1.02572250366,37.9165556263,1.13686789088,6,-0.0100000000002,0,3132.32954328,0.01,0.01,240,GRB,1.17.6,167297a
3135.03792069,3135.03850056,0.0118284410669,a4,15,8,0.01,certified,True,0.000579869079047,42,22,20,32,6,14,13.5877890587,13.9442536831,27.5320427418,5.47790789604,68.3946747317,1.21913013845,21,-0.0087514280126,0.00182844106666,3135.03974913,0.01,0.01,240,GRB,1.17.6,167297a
3293.46668202,3293.46873839,0.012867061223,a4,0,12,0.01,certified,True,0.00205637894624,26,14,12,21,5,7,67.8908836842,60.7529814243,128.643865108,48.1165583134,59.3533183946,1.62409399989,13,-0.00918931772367,0.00286706122279,3293.46954908,0.01,0.01,240,GRB,1.17.6,167297a
4166.14073752,4166.14076573,0.0100282102831,a4,11,12,0.01,certified,True,2.82102828351e-05,26,14,12,22,3,9,99.6392924786,90.5235893726,190.162881851,19.9703650475,53.1812172806,1.13686789088,13,-0.0100000000002,2.82102828351e-05,4166.14076573,0.01,0.01,240,GRB,1.17.6,167297a
3279.7595469,3279.76045953,2.681978485,a4,15,12,0.01,certified,True,0.000912624104785,48,25,23,37,3,20,97.5620799065,84.4630084038,182.02508831,52.0542521477,86.4018009106,1.18882963228,24,2.6610658609,2.671978485,3282.43152539,0.01,0.01,240,GRB,1.17.6,167297a
3176.59912487,3176.59951099,0.0106406126051,a4,0,8,0.05,certified,True,0.000386116028039,22,12,10,19,2,8,6.67926287651,7.04640698433,13.7256698608,6.77720713615,110.164928474,2.13686789088,11,-0.00974550342335,0.000640612604911,3176.59976548,0.01,0.01,240,GRB,1.17.6,167297a
3165.85426491,3165.8546685,0.0103882478334,a4,11,8,0.05,certified,True,0.000403594970976,16,9,7,12,2,5,4.00686812401,3.15138673782,7.15825486183,4.5775001049,103.081815183,2.13686789088,8,-0.0100153471381,0.000388247833143,3165.85465315,0.01,0.01,240,GRB,1.17.6,167297a
3168.29776586,3168.29797893,0.0102221670386,a4,15,8,0.05,certified,True,0.000213066100969,38,20,18,32,2,16,12.7621662617,13.4209849834,26.1831512451,7.89536571503,140.214434027,2.13686789088,19,-0.00999089906281,0.000222167038373,3168.29798803,0.01,0.01,240,GRB,1.17.6,167297a
3532.42107925,3532.4219134,0.0115673121095,a4,0,12,0.05,certified,True,0.000834149140246,32,17,15,24,2,13,343.716197491,255.949418783,599.665616274,208.539316177,143.765573084,2.49554908639,16,-0.00926683703119,0.00156731210927,3532.42264656,0.01,0.01,240,GRB,1.17.6,167297a
4224.20492411,4224.20520915,0.216786581164,a4,11,12,0.05,certified,True,0.000285040759991,34,18,16,24,2,14,518.110411644,471.848567247,989.958978891,450.742039204,131.970322779,2.13686789088,17,0.196501540404,0.206786581164,4224.41171069,0.01,0.01,240,GRB,1.17.6,167297a
3459.66178877,3459.66217027,5.38599725773,a4,15,12,0.05,certified,True,0.000381494724024,50,26,24,39,4,20,226.530604839,194.185092449,420.715697289,188.157192469,165.644246097,2.13686789088,25,5.36561576301,5.37599725773,3465.03778603,0.01,0.01,240,GRB,1.17.6,167297a
3130.61594736,3130.61644312,0.0104322570555,a5,0,8,0.01,certified,True,0.000495758056786,34,18,16,18,2,14,8.53908753395,8.10877895355,16.6478664875,4.43592834473,0.468603183634,0.272955769942,17,-0.0100635010017,0.000432257055309,3130.61637962,0.01,0.01,240,GRB,1.17.6,167297a
3132.32954328,3132.32954328,0.0100000000002,a5,11,8,0.01,certified,True,0,30,16,14,15,1,13,6.68523168564,6.14700388908,12.8322355747,1.10876441002,0.15,0.15,15,-0.0100000000002,0,3132.32954328,0.01,0.01,240,GRB,1.17.6,167297a
3135.03792069,3135.03850056,0.0118284410669,a5,15,8,0.01,certified,True,0.000579869079047,62,32,30,33,3,27,23.4896740913,23.9262120724,47.4158861637,5.55141067505,0.4896640625,0.233,31,-0.0087514280126,0.00182844106666,3135.03974913,0.01,0.01,240,GRB,1.17.6,167297a
3293.46779961,3293.46822872,0.0117494696874,a5,0,12,0.01,certified,True,0.000429109192282,18,10,8,13,4,4,35.2619616985,35.2622385025,70.524200201,38.9171152115,1.19046435452,0.343,9,-0.00867963950532,0.00174946968718,3293.46954908,0.01,0.01,240,GRB,1.17.6,167297a
4166.14076573,4166.14076573,0.0100000000002,a5,11,12,0.01,certified,True,0,56,29,27,28,1,26,247.679536819,277.457877636,525.137414455,22.622957468,0.274,0.274,28,-0.0100000000002,0,4166.14076573,0.01,0.01,240,GRB,1.17.6,167297a
3279.75975177,3279.76019388,2.68177361802,a5,15,12,0.01,certified,True,0.000442114373982,68,35,33,40,5,28,143.231590509,185.929100513,329.160691023,54.6470332146,1.57318018917,0.399197934919,34,2.66133150365,2.67177361802,3282.43152539,0.01,0.01,240,GRB,1.17.6,167297a
3176.59912487,3176.59951099,0.0106406126047,a5,0,8,0.05,certified,True,0.000386116027585,32,17,15,18,3,12,10.286550045,10.3002195358,20.5867695808,6.86612987518,1.86627249575,0.515,16,-0.00974550342335,0.000640612604457,3176.59976548,0.01,0.01,240,GRB,1.17.6,167297a
3165.85421318,3165.85490227,0.0104399746251,a5,11,8,0.05,certified,True,0.000689094190875,26,14,12,14,2,10,8.13456106186,9.21646213531,17.3510231972,5.13471007347,1.19157894529,0.75,13,-0.0102491195662,0.000439974624896,3165.85465315,0.01,0.01,240,GRB,1.17.6,167297a
3168.29778162,3168.29794742,0.0102064077655,a5,15,8,0.05,certified,True,0.000165800571267,66,34,32,39,4,28,23.4846494198,27.5201976299,51.0048470497,7.95645999908,1.77342612524,0.735,33,-0.00995939280619,0.00020640776529,3168.29798803,0.01,0.01,240,GRB,1.17.6,167297a
3532.42144675,3532.42181425,0.0111998098696,a5,0,12,0.05,certified,True,0.000367503330381,16,9,7,14,5,2,117.263400793,163.458178759,280.721579552,208.005277395,6.43623352855,1.07904906874,8,-0.00916769346122,0.00119980986938,3532.42264656,0.01,0.01,240,GRB,1.17.6,167297a
4224.20462997,4224.20538031,0.217080712225,a5,11,12,0.05,certified,True,0.000750339970182,22,12,10,16,6,4,202.761580467,326.227485657,528.989066124,393.766128302,4.43604656078,1.37,11,0.196330372254,0.207080712225,4224.41171069,0.01,0.01,240,GRB,1.17.6,167297a
3459.66133058,3459.66201079,5.38645545156,a5,15,12,0.05,certified,True,0.000680209907841,34,18,16,28,9,7,115.469988108,188.667663574,304.137651682,203.105436325,7.56332052525,0.963061038087,17,5.36577524166,5.37645545156,3465.03778603,0.01,0.01,240,GRB,1.17.6,167297a
