scope,method,cells,certified,cert_rate,calls_median,calls_q1,calls_q3,calls_max,clean_calls_median,stab_calls_median,clean_wall_median_s,stab_wall_median_s,wall_median_s,wall_q1_s,wall_q3_s,wall_max_s,gap_median,gap_max,broadcast_tv_median,broadcast_linf_median,wins_vs_a2,ties_vs_a2,losses_vs_a2,clean_wins_vs_a2,clean_ties_vs_a2,clean_losses_vs_a2
b=0.01,a2,32,32,1,26,21.25,29,36,26,0,41.9769729376,0,41.9769729376,12.9825433493,263.143451154,3071.9425981,0.000445118372909,0.00134165450936,93.1312715945,2.27373589088,0,0,0,0,0,0
b=0.01,a3,32,32,1,43,25.5,51,76,22.5,20.5,26.701335907,26.408052206,53.4338821173,21.4034670591,575.712219656,4548.54277468,0.00048656234776,0.000985546875199,1.9507082362,0.334,2,1,29,23,4,5
b=0.01,a4,32,32,1,35,26,42,50,18.5,16.5,23.109593749,21.0144389868,44.1240327358,16.2213484049,240.165917993,4215.11438489,0.000532028090902,0.00205637894624,63.428978988,1.16284876158,2,3,27,29,3,0
b=0.01,a5,32,32,1,45,30,56,72,23.5,21.5,24.2453582287,25.4751116037,49.3035804033,17.2917093039,550.936939776,4781.24069118,0.000521741104421,0.000985546875199,1.02162144713,0.3215,1,1,30,17,9,6
b=0.05,a2,32,32,1,21.5,18.75,28,34,21.5,0,38.4811928272,0,38.4811928272,14.8395271897,954.016747773,7507.06316853,0.000491680272489,0.000997675845156,169.697188104,4.66236916066,0,0,0,0,0,0
b=0.05,a3,32,32,1,27,20,32.5,60,14.5,12.5,28.3959980011,23.5249263048,60.2151671648,20.2184036374,979.009966373,9936.99715829,0.000481043013906,0.00261219287358,5.40855927389,0.80728978161,6,4,22,31,1,0
b=0.05,a4,32,32,1,34,22,42.5,58,18,16,22.3127361536,21.2785151005,43.5912512541,16.9723295569,1047.56205428,9846.97254419,0.000593830960952,0.00794371197208,131.754490989,2.13686789088,0,4,28,28,3,1
b=0.05,a5,32,32,1,27,22,34,66,14.5,12.5,23.1358590126,24.2639766932,46.5910127163,19.7778329849,705.640681624,10374.7791033,0.000512054172304,0.00383858576333,4.49830595888,0.7725,4,3,25,28,1,3
overall,a2,64,64,1,24,19,28.25,36,24,0,38.4811928272,0,38.4811928272,12.9825433493,464.879044175,7507.06316853,0.000451510336234,0.00134165450936,127.094441771,4.273736,0,0,0,0,0,0
overall,a3,64,64,1,30,22,48,76,16,14,28.0286923647,26.408052206,57.0762422085,21.4034670591,720.874281347,9936.99715829,0.00048656234776,0.00261219287358,2.88383412218,0.502358488739,8,5,51,54,5,5
overall,a4,64,64,1,34,26,42,58,18,16,22.3127361536,21.2785151005,43.5912512541,16.4551318884,697.238956928,9846.97254419,0.000551775177428,0.00794371197208,86.8165547396,2.13686789088,2,7,55,57,6,1
overall,a5,64,64,1,32,24,50,72,17,15,23.4871617556,25.4751116037,49.2103666067,17.4674984813,553.825678527,10374.7791033,0.000521741104421,0.00383858576333,1.67330315721,0.492312581293,5,4,55,45,10,9
