lb_best,ub_ch,zd_minus_lb,method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,serious_steps,null_steps,wall_clean_s,wall_stab_s,total_solver_wall_s,dictator_wall_s,broadcast_tv,broadcast_linf_max,broadcast_points,uplift_lo,uplift_hi,z_d_ub,tol_d,epsilon,budget,backend,mip_version,source_commit
2355.2477304,2355.24818289,0.0124445816996,a2,2,12,0.01,certified,True,0.000452486548511,26,26,0,25,0,0,50.8911151886,0,50.8911151886,28.9443910122,75.0272566283,2.32354046926,26,-0.00800790484936,0.00244458169936,2355.25017498,0.01,0.01,240,GRB,1.17.6,84a5ead
4211.87104187,4211.8715311,0.0411989719569,a2,3,12,0.01,certified,True,0.000489228821607,24,24,0,23,0,0,1940.80804825,0,1940.80804825,990.725484133,85.791693513,2.27373578176,24,0.0207097431348,0.0311989719567,4211.90224084,0.01,0.01,240,GRB,1.17.6,84a5ead
3261.57416576,3261.57428099,0.122638398109,a2,4,12,0.01,certified,True,0.000115228044706,34,34,0,33,0,0,3071.9425981,0,3071.9425981,907.028382301,118.32581841,2.27823268923,34,0.102523170064,0.112638398109,3261.68680416,0.01,0.01,240,GRB,1.17.6,84a5ead
3304.65550636,3304.65643686,2.85509802439,a2,5,12,0.01,certified,True,0.000930499957576,28,28,0,27,0,0,965.755172014,0,965.755172014,609.564006805,95.106312062,2.27373578176,28,2.83416752443,2.84509802439,3307.50060438,0.01,0.01,240,GRB,1.17.6,84a5ead
2365.18819104,2365.18855324,0.198105318324,a2,6,12,0.01,certified,True,0.000362198534276,35,35,0,34,0,0,74.7818827629,0,74.7818827629,31.5648229122,125.385137652,2.27373578176,35,0.177743119789,0.188105318324,2365.37629636,0.01,0.01,240,GRB,1.17.6,84a5ead
3206.30136097,3206.30207735,0.110028712445,a2,7,12,0.01,certified,True,0.000716371314411,29,29,0,28,0,0,810.009561777,0,810.009561777,219.441643238,100.26912255,2.27373578176,29,0.0893123411306,0.100028712445,3206.40138969,0.01,0.01,240,GRB,1.17.6,84a5ead
3280.39687094,3280.39708611,0.327375867681,a2,8,12,0.01,certified,True,0.0002151714707,19,19,0,18,0,0,125.686536789,0,125.686536789,76.7029964924,67.2728047258,2.33818890676,19,0.30716069621,0.317375867681,3280.71424681,0.01,0.01,240,GRB,1.17.6,84a5ead
2396.28953809,2396.28997779,2.8434970444,a2,9,12,0.01,certified,True,0.000439702621861,28,28,0,27,0,0,60.0492258072,0,60.0492258072,17.2820999622,98.1079427513,2.28630414114,28,2.82305734177,2.8334970444,2399.12303513,0.01,0.01,240,GRB,1.17.6,84a5ead
3236.95029025,3236.9506128,0.033174135483,a2,10,12,0.01,certified,True,0.000322553683418,31,31,0,30,0,0,1374.62927556,0,1374.62927556,792.431292295,124.05449527,5.05381636858,31,0.0128515817992,0.0231741354828,3236.97346438,0.01,0.01,240,GRB,1.17.6,84a5ead
4166.14076573,4166.14076573,0.0100000000002,a2,11,12,0.01,certified,True,0,29,29,0,28,0,0,333.51213932,0,333.51213932,35.4308800697,102.857009,2.360725,29,-0.0100000000002,0,4166.14076573,0.01,0.01,240,GRB,unknown,d89c672
3200.00106343,3200.00200669,1.35661331186,a2,12,12,0.01,certified,True,0.00094325511418,35,35,0,34,0,0,683.678983927,0,683.678983927,269.648623943,173.266112265,4.5536528633,35,1.33567005675,1.34661331186,3201.34767674,0.01,0.01,240,GRB,1.17.6,84a5ead
4205.82002765,4205.82037225,0.0107176470883,a2,13,12,0.01,certified,True,0.000344596481227,25,25,0,24,0,0,239.687221766,0,239.687221766,220.215419531,99.1756134855,2.36806803495,25,-0.00962694939335,0.000717647088095,4205.8207453,0.01,0.01,240,GRB,1.17.6,84a5ead
3266.4109879,3266.4111416,0.012418089083,a2,14,12,0.01,certified,True,0.000153704875174,28,28,0,27,0,0,152.877186298,0,152.877186298,58.0582432747,115.409613431,10.6740662953,28,-0.00773561579263,0.00241808908277,3266.41340599,0.01,0.01,240,GRB,1.17.6,84a5ead
3279.7599628,3279.76031584,2.68156258619,a2,15,12,0.01,certified,True,0.000353036804427,28,28,0,27,0,0,159.795410633,0,159.795410633,78.5667979717,92.63945,2.304454,28,2.66120954939,2.67156258619,3282.43152539,0.01,0.01,240,GRB,unknown,d89c672
3176.59875023,3176.59926635,0.0110152544798,a2,0,8,0.05,certified,True,0.000516120910106,20,20,0,19,0,0,17.7072184086,0,17.7072184086,9.44160890579,141.01195,4.273736,20,-0.0095008664307,0.00101525447963,3176.59976548,0.01,0.01,240,GRB,unknown,d89c672
3101.35487719,3101.35512475,0.0111798223638,a2,1,8,0.05,certified,True,0.000247558593856,17,17,0,16,0,0,7.82838559151,0,7.82838559151,3.55598258972,127.920595558,4.27373578176,17,-0.00906773623046,0.00117982236361,3101.35605701,0.01,0.01,240,GRB,1.17.6,84a5ead
3182.91465545,3182.91558822,0.399637457499,a2,2,8,0.05,certified,True,0.000932769775318,29,29,0,28,0,0,35.1151163578,0,35.1151163578,19.3343508244,161.323539717,4.5364012887,29,0.378704687723,0.389637457499,3183.30429291,0.01,0.01,240,GRB,1.17.6,84a5ead
3185.75020174,3185.75100696,0.323160137481,a2,3,8,0.05,certified,True,0.000805214949651,21,21,0,20,0,0,26.3195157051,0,26.3195157051,14.0696082115,153.894900889,4.27373578176,21,0.302354922531,0.313160137481,3186.06336188,0.01,0.01,240,GRB,1.17.6,84a5ead
2309.2732271,2309.27350833,0.330401241482,a2,4,8,0.05,certified,True,0.000281225373783,32,32,0,31,0,0,28.1320662498,0,28.1320662498,9.41553139687,174.970801614,4.4838812675,32,0.310120016108,0.320401241482,2309.59362834,0.01,0.01,240,GRB,1.17.6,84a5ead
