method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,uplift_lo,uplift_hi,identity_verified,certification_verified
a2,13,8,0.01,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a2,13,8,0.05,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a3,13,8,0.01,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a3,13,8,0.05,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a4,13,8,0.01,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a4,13,8,0.05,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a5,13,8,0.01,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
a5,13,8,0.05,certified,True,0,2,2,0,1,-0.0100000000002,0,True,True
